Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,ATL,@,NYM,L,0,1,,0-1,3,1.0,Lugo,Martin,Diaz,2:25,D,,1.20,-,
2,Saturday Jul 25,boxscore,ATL,@,NYM,W,5,3,10,1-1,1,Tied,Jackson,Strickland,,3:21,D,,1.20,+,
3,Sunday Jul 26,boxscore,ATL,@,NYM,W,14,1,,2-1,1,Tied,Chacin,Porcello,,3:20,N,,1.21,++,
4,Monday Jul 27,boxscore,ATL,@,TBR,L,5,14,,2-2,2,0.5,Castillo,Foltynewicz,,3:03,N,,1.10,-,
5,Tuesday Jul 28,boxscore,ATL,@,TBR,L,2,5,,2-3,3,1.0,Fairbanks,Wright,Drake,3:03,N,,1.10,--,
6,Wednesday Jul 29,boxscore,ATL,,TBR,W,7,4,,3-3,2,0.5,O'Day,Drake,Melancon,3:22,N,,1.08,+,
7,Thursday Jul 30,boxscore,ATL,,TBR,W,2,1,,4-3,1,Tied,Fried,Yarbrough,Melancon,2:40,N,,1.10,++,
8,Friday Jul 31,boxscore,ATL,,NYM,W,11,10,,5-3,1,up 0.5,Dayton,Lugo,Martin,3:35,N,,1.26,+++,
9,Saturday Aug 1,boxscore,ATL,,NYM,W,7,1,,6-3,1,up 1.0,Tomlin,Wacha,,3:21,N,,1.24,++++,
10,Sunday Aug 2,boxscore,ATL,,NYM,W,4,0,,7-3,1,up 1.5,Matzek,Peterson,,3:06,D,,1.19,+++++,
11,Monday Aug 3,boxscore,ATL,,NYM,L,2,7,,7-4,1,up 1.0,deGrom,Soroka,,3:16,N,,1.15,-,
12,Tuesday Aug 4,boxscore,ATL,,TOR,W,10,1,,8-4,1,up 1.0,Fried,Shoemaker,,3:06,N,,1.09,+,
13,Wednesday Aug 5,boxscore,ATL,,TOR,L,1,2,,8-5,2,0.5,Ryu,Newcomb,Bass,3:00,N,,1.03,-,
14,Thursday Aug 6,boxscore,ATL,,TOR,W-wo,4,3,,9-5,2,0.5,Melancon,Font,,2:37,N,,1.10,+,
15,Saturday Aug 8,boxscore,ATL,@,PHI,L,0,5,,9-6,2,1.0,Arrieta,Wright,,2:31,N,,1.21,-,
16,Sunday Aug 9 (1),boxscore,ATL,@,PHI,W,5,2,7,10-6,1,up 0.5,Matzek,Guerra,Melancon,2:59,D,,1.29,+,
17,Sunday Aug 9 (2),boxscore,ATL,@,PHI,W,8,0,7,11-6,1,up 0.5,Fried,Howard,,2:29,D,,1.28,++,
18,Monday Aug 10,boxscore,ATL,@,PHI,L,8,13,,11-7,1,Tied,Nola,Newcomb,,2:54,N,,1.13,-,
19,Tuesday Aug 11,boxscore,ATL,@,NYY,L,6,9,,11-8,1,Tied,Montgomery,Toussaint,Britton,3:18,N,,1.08,--,
20,Wednesday Aug 12,boxscore,ATL,@,NYY,L,3,6,,11-9,2,1.0,Loaisiga,Matzek,Britton,3:40,N,,1.13,---,
21,Friday Aug 14,boxscore,ATL,@,MIA,L,2,8,,11-10,2,2.0,Lopez,Wright,,2:59,N,,1.33,----,
22,Saturday Aug 15,boxscore,ATL,@,MIA,W,2,1,,12-10,2,1.0,Smith,Kintzler,Melancon,2:59,N,,1.39,+,
23,Sunday Aug 16,boxscore,ATL,@,MIA,W,4,0,,13-10,1,Tied,O'Day,Vincent,,2:58,D,,1.33,++,
24,Monday Aug 17,boxscore,ATL,,WSN,W-wo,7,6,,14-10,1,up 1.0,Smith,Hudson,,3:35,N,,1.31,+++,
25,Tuesday Aug 18,boxscore,ATL,,WSN,L,5,8,,14-11,1,up 1.0,Suero,Matzek,Hudson,3:44,N,,1.21,-,
26,Friday Aug 21,boxscore,ATL,,PHI,W,11,2,,15-11,1,up 1.5,Fried,Nola,,3:18,N,,1.31,+,
27,Saturday Aug 22,boxscore,ATL,,PHI,W-wo,6,5,,16-11,1,up 2.0,Melancon,Workman,,3:18,N,,1.19,++,
28,Sunday Aug 23,boxscore,ATL,,PHI,L,4,5,,16-12,1,up 2.0,Eflin,Tomlin,Workman,3:17,N,,1.09,-,
29,Wednesday Aug 26 (1),boxscore,ATL,,NYY,W,5,1,7,17-12,1,up 2.0,Anderson,Cole,,2:05,D,,1.08,+,
30,Wednesday Aug 26 (2),boxscore,ATL,,NYY,W,2,1,7,18-12,1,up 2.0,Fried,Green,Melancon,1:58,N,,1.00,++,
31,Friday Aug 28,boxscore,ATL,@,PHI,L-wo,4,7,11,18-13,1,up 2.0,Parker,Melancon,,4:07,N,,1.00,-,
32,Saturday Aug 29,boxscore,ATL,@,PHI,L,1,4,,18-14,1,up 2.0,Eflin,Tomlin,Workman,2:33,D,,1.15,--,
33,Sunday Aug 30,boxscore,ATL,@,PHI,W,12,10,,19-14,1,up 3.0,Minter,Arrieta,Melancon,4:13,N,,1.27,+,
34,Monday Aug 31,boxscore,ATL,@,BOS,W,6,3,,20-14,1,up 3.0,Fried,Brewer,Melancon,3:19,N,,.87,++,
35,Tuesday Sep 1,boxscore,ATL,@,BOS,W,10,3,,21-14,1,up 3.0,Anderson,Stock,,3:05,N,,.73,+++,
36,Wednesday Sep 2,boxscore,ATL,@,BOS,W,7,5,,22-14,1,up 3.0,Matzek,Triggs,Melancon,3:01,N,,.63,++++,
37,Friday Sep 4 (1),boxscore,ATL,,WSN,W,7,1,7,23-14,1,up 2.0,O'Day,Voth,,2:30,D,,.58,+++++,
38,Friday Sep 4 (2),boxscore,ATL,,WSN,L,9,10,7,23-15,1,up 2.0,Suero,Smith,Hudson,3:12,N,,.48,-,
39,Saturday Sep 5,boxscore,ATL,,WSN,L,4,10,,23-16,1,up 2.0,McGowin,Matzek,,3:31,N,,.53,--,
40,Sunday Sep 6,boxscore,ATL,,WSN,W,10,3,,24-16,1,up 3.0,Tomlin,Corbin,,3:26,D,,.70,+,
41,Monday Sep 7,boxscore,ATL,,MIA,L,4,5,10,24-17,1,up 2.0,Kintzler,Minter,Vincent,3:52,D,,.64,-,
42,Tuesday Sep 8,boxscore,ATL,,MIA,L,0,8,,24-18,1,up 1.5,Sanchez,Wright,,3:12,N,,.86,--,
43,Wednesday Sep 9,boxscore,ATL,,MIA,W,29,9,,25-18,1,up 2.0,Dayton,Lopez,Wilson,4:14,N,,1.00,+,
44,Thursday Sep 10,boxscore,ATL,@,WSN,W,7,6,,26-18,1,up 3.0,Martin,Rainey,Melancon,3:40,N,,.70,++,
45,Friday Sep 11,boxscore,ATL,@,WSN,L-wo,7,8,12,26-19,1,up 2.5,Bourque,Dayton,,4:48,N,,.50,-,
46,Saturday Sep 12,boxscore,ATL,@,WSN,W,2,1,,27-19,1,up 2.5,Anderson,Corbin,Melancon,3:04,N,,.67,+,
47,Sunday Sep 13,boxscore,ATL,@,WSN,W,8,4,,28-19,1,up 3.5,Wright,Scherzer,,3:37,D,,.48,++,
48,Monday Sep 14,boxscore,ATL,@,BAL,L,1,14,,28-20,1,up 2.5,Lopez,Toussaint,,2:54,N,,.36,-,
49,Tuesday Sep 15,boxscore,ATL,@,BAL,W,5,1,,29-20,1,up 3.5,O'Day,Eshelman,,2:57,N,,.38,+,
50,Wednesday Sep 16,boxscore,ATL,@,BAL,L,1,5,,29-21,1,up 2.5,Akin,Hamels,,2:35,N,,.34,-,
51,Friday Sep 18,boxscore,ATL,@,NYM,W,15,2,,30-21,1,up 3.5,Fried,Matz,,3:39,N,,.35,+,
52,Saturday Sep 19,boxscore,ATL,@,NYM,L,2,7,,30-22,1,up 2.5,Peterson,Anderson,,3:32,N,,.30,-,
53,Sunday Sep 20,boxscore,ATL,@,NYM,W,7,0,,31-22,1,up 3.0,Wright,Porcello,,3:09,D,,.36,+,
54,Monday Sep 21,boxscore,ATL,,MIA,W,5,4,,32-22,1,up 4.0,Matzek,Rogers,Melancon,3:30,N,,.41,++,
55,Tuesday Sep 22,boxscore,ATL,,MIA,W,11,1,,33-22,1,up 5.0,Wilson,Urena,,2:50,N,,.23,+++,
56,Wednesday Sep 23,boxscore,ATL,,MIA,W,9,4,,34-22,1,up 6.0,Jackson,Smith,,3:01,N,,.06,++++,
57,Thursday Sep 24,boxscore,ATL,,MIA,L,2,4,,34-23,1,up 5.0,Lopez,Anderson,Kintzler,3:35,N,,.11,-,
58,Friday Sep 25,boxscore,ATL,,BOS,W-wo,8,7,11,35-23,1,up 5.0,Greene,Springs,,3:59,N,,.11,+,
59,Saturday Sep 26,boxscore,ATL,,BOS,L,2,8,,35-24,1,up 5.0,Houck,Davidson,,3:22,N,,.13,-,
60,Sunday Sep 27,boxscore,ATL,,BOS,L,1,9,,35-25,1,up 4.0,Pivetta,Smith,,3:23,D,,.13,--,
