Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,CHC,,MIL,W,3,0,,1-0,1,Tied,Hendricks,Woodruff,,2:30,N,,1.18,+,
2,Saturday Jul 25,boxscore,CHC,,MIL,L,3,8,,1-1,2,1.0,Suter,Darvish,,3:36,D,,1.17,-,
3,Sunday Jul 26,boxscore,CHC,,MIL,W,9,1,,2-1,1,Tied,Chatwood,Peralta,,3:04,D,,1.19,+,
4,Monday Jul 27,boxscore,CHC,@,CIN,W,8,7,,3-1,1,up 0.5,Lester,Miley,Jeffress,3:46,N,,1.20,++,
5,Tuesday Jul 28,boxscore,CHC,@,CIN,W,8,5,,4-1,1,up 1.5,Mills,Reed,,3:02,N,,1.19,+++,
6,Wednesday Jul 29,boxscore,CHC,@,CIN,L,7,12,,4-2,1,up 1.0,Gray,Hendricks,,3:23,N,,1.14,-,
7,Friday Jul 31,boxscore,CHC,,PIT,W,6,3,,5-2,1,up 1.5,Darvish,Williams,,3:46,N,,1.23,+,
8,Saturday Aug 1,boxscore,CHC,,PIT,W,4,3,,6-2,1,up 2.0,Chatwood,Keller,Wick,3:11,N,,1.16,++,
9,Sunday Aug 2,boxscore,CHC,,PIT,W-wo,2,1,11,7-2,1,up 2.5,Jeffress,Ponce,,3:37,D,,1.13,+++,
10,Monday Aug 3,boxscore,CHC,,KCR,W,2,0,,8-2,1,up 3.0,Mills,Duffy,Wick,2:43,N,,.96,++++,
11,Tuesday Aug 4,boxscore,CHC,,KCR,W,5,4,,9-2,1,up 4.0,Hendricks,Singer,Ryan,2:51,N,,.89,+++++,
12,Wednesday Aug 5,boxscore,CHC,@,KCR,W,6,1,,10-2,1,up 4.5,Darvish,Bubic,,3:09,N,,.77,++++++,
13,Thursday Aug 6,boxscore,CHC,@,KCR,L,2,13,,10-3,1,up 3.5,Keller,Chatwood,,3:02,N,,.67,-,
14,Tuesday Aug 11,boxscore,CHC,@,CLE,W,7,1,,11-3,1,up 4.5,Lester,Plutko,,3:14,N,,.76,+,
15,Wednesday Aug 12,boxscore,CHC,@,CLE,W,7,2,,12-3,1,up 5.0,Hendricks,Carrasco,,3:32,N,,.67,++,
16,Thursday Aug 13,boxscore,CHC,,MIL,W,4,2,,13-3,1,up 5.5,Darvish,Anderson,Wick,3:06,N,,.67,+++,
17,Friday Aug 14,boxscore,CHC,,MIL,L,3,4,,13-4,1,up 5.0,Peralta,Mills,Hader,3:13,N,,.56,-,
18,Saturday Aug 15,boxscore,CHC,,MIL,L,5,6,10,13-5,1,up 3.5,Phelps,Jeffress,Claudio,3:24,D,,.64,--,
19,Sunday Aug 16,boxscore,CHC,,MIL,L,5,6,,13-6,1,up 3.5,Yardley,Adam,Hader,3:11,D,,.77,---,
