Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,CHW,,MIN,L,5,10,,0-1,3,1.0,May,Giolito,,3:31,N,,1.17,-,
2,Saturday Jul 25,boxscore,CHW,,MIN,W,10,3,,1-1,1,Tied,Keuchel,Dobnak,,3:17,D,,1.16,+,
3,Sunday Jul 26,boxscore,CHW,,MIN,L,2,14,,1-2,4,1.0,Maeda,Lopez,,3:38,D,,1.19,-,
4,Tuesday Jul 28 (1),boxscore,CHW,@,CLE,L,3,4,,1-3,5,3.0,Civale,Cease,Hand,3:15,D,,1.18,--,
5,Tuesday Jul 28 (2),boxscore,CHW,@,CLE,L,3,5,,1-4,5,3.0,Plutko,Rodon,Hill,2:43,D,,1.12,---,
6,Wednesday Jul 29,boxscore,CHW,@,CLE,W,4,0,,2-4,4,2.5,Bummer,Hand,,2:57,N,,1.08,+,
7,Friday Jul 31,boxscore,CHW,@,KCR,W,3,2,,3-4,4,2.0,Keuchel,Bubic,Colome,2:56,N,,1.17,++,
8,Saturday Aug 1,boxscore,CHW,@,KCR,W,11,5,,4-4,4,2.0,Foster,Bolanos,Heuer,3:44,N,,1.21,+++,
9,Sunday Aug 2,boxscore,CHW,@,KCR,W,9,2,,5-4,2,2.0,Cease,Barlow,,3:01,D,,1.24,++++,
10,Monday Aug 3,boxscore,CHW,@,MIL,W,6,4,,6-4,2,2.0,Detwiler,Phelps,Colome,3:43,N,,1.15,+++++,
11,Tuesday Aug 4,boxscore,CHW,@,MIL,W,3,2,,7-4,2,2.0,Giolito,Williams,Colome,3:14,N,,1.12,++++++,
12,Wednesday Aug 5,boxscore,CHW,,MIL,L,0,1,,7-5,2,3.0,Houser,Keuchel,Hader,2:21,N,,1.06,-,
13,Thursday Aug 6,boxscore,CHW,,MIL,L,3,8,,7-6,3,3.0,Lindblom,Gonzalez,,3:41,N,,1.13,--,
14,Friday Aug 7,boxscore,CHW,,CLE,W,2,0,,8-6,2,2.0,Cease,Civale,Colome,2:48,N,,1.30,+,
15,Saturday Aug 8,boxscore,CHW,,CLE,L,1,7,,8-7,4,2.0,Plesac,Anderson,,3:11,D,,1.28,-,
16,Sunday Aug 9,boxscore,CHW,,CLE,L,4,5,10,8-8,4,2.0,Maton,Cordero,Perez,3:20,N,,1.35,--,
17,Monday Aug 10,boxscore,CHW,@,DET,L,1,5,,8-9,4,3.0,Norris,Keuchel,,2:47,N,,1.34,---,
18,Tuesday Aug 11,boxscore,CHW,@,DET,W,8,4,,9-9,4,2.0,Foster,Alexander,,2:51,N,,1.32,+,
19,Wednesday Aug 12,boxscore,CHW,@,DET,W,7,5,,10-9,3,2.0,Cease,Boyd,Colome,3:12,D,,1.37,++,
20,Saturday Aug 15 (1),boxscore,CHW,,STL,L,1,5,7,10-10,4,3.0,Wainwright,Giolito,,2:19,D,,1.26,-,
21,Saturday Aug 15 (2),boxscore,CHW,,STL,L,3,6,7,10-11,4,3.0,Cabrera,Marshall,Miller,2:30,D,,1.27,--,
22,Sunday Aug 16,boxscore,CHW,,STL,W,7,2,,11-11,3,3.0,Keuchel,Hudson,,2:52,D,,1.19,+,
23,Monday Aug 17,boxscore,CHW,,DET,W,7,2,,12-11,3,3.0,Heuer,Boyd,,3:12,N,,1.40,++,
24,Tuesday Aug 18,boxscore,CHW,,DET,W,10,4,,13-11,3,3.0,Cease,Skubal,,3:00,N,,1.44,+++,
25,Wednesday Aug 19,boxscore,CHW,,DET,W,5,3,,14-11,3,2.0,Marshall,Soto,Colome,2:31,N,,1.41,++++,
26,Thursday Aug 20,boxscore,CHW,,DET,W,9,0,,15-11,3,2.0,Giolito,Turnbull,,2:56,D,,1.35,+++++,
