Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,CIN,,DET,W,7,1,,1-0,1,Tied,Gray,Boyd,,2:45,N,,1.08,+,
2,Saturday Jul 25,boxscore,CIN,,DET,L,4,6,,1-1,2,1.0,Farmer,Iglesias,Jimenez,3:01,N,,1.06,-,
3,Sunday Jul 26,boxscore,CIN,,DET,L,2,3,,1-2,3,1.0,Cisnero,Lorenzen,Jimenez,3:04,D,,1.09,--,
4,Monday Jul 27,boxscore,CIN,,CHC,L,7,8,,1-3,4,2.0,Lester,Miley,Jeffress,3:46,N,,1.18,---,
5,Tuesday Jul 28,boxscore,CIN,,CHC,L,5,8,,1-4,5,3.0,Mills,Reed,,3:02,N,,1.15,----,
6,Wednesday Jul 29,boxscore,CIN,,CHC,W,12,7,,2-4,4,2.0,Gray,Hendricks,,3:23,N,,1.08,+,
7,Friday Jul 31,boxscore,CIN,@,DET,L,2,7,,2-5,4,3.0,Turnbull,Castillo,,2:31,N,,1.03,-,
8,Sunday Aug 2 (1),boxscore,CIN,@,DET,W,4,3,7,3-5,3,3.0,Iglesias,Jimenez,,2:25,D,,.95,+,
9,Sunday Aug 2 (2),boxscore,CIN,@,DET,W,4,0,7,4-5,3,3.0,Bauer,Norris,,2:36,D,,.97,++,
10,Monday Aug 3,boxscore,CIN,,CLE,W,3,2,,5-5,2,3.0,Gray,Plesac,Iglesias,2:33,N,,1.07,+++,
11,Tuesday Aug 4,boxscore,CIN,,CLE,L,2,4,,5-6,2,4.0,Bieber,Jones,Hand,2:59,N,,1.12,-,
12,Wednesday Aug 5,boxscore,CIN,@,CLE,L,0,2,,5-7,4,5.0,Clevinger,Antone,Hand,2:56,N,,1.07,--,
13,Thursday Aug 6,boxscore,CIN,@,CLE,L,0,13,,5-8,4,5.0,Carrasco,Castillo,,2:53,N,,1.05,---,
14,Friday Aug 7,boxscore,CIN,@,MIL,W,8,3,,6-8,4,4.5,Bauer,Lauer,,2:59,N,,1.14,+,
15,Saturday Aug 8,boxscore,CIN,@,MIL,W,4,1,,7-8,2,4.0,DeSclafani,Anderson,Iglesias,2:40,N,,1.24,++,
16,Sunday Aug 9,boxscore,CIN,@,MIL,L,3,9,,7-9,4,4.5,Suter,Gray,,3:14,D,,1.31,-,
17,Tuesday Aug 11,boxscore,CIN,,KCR,W-wo,6,5,10,8-9,2,4.5,Sims,Staumont,,3:33,N,,1.10,+,
18,Wednesday Aug 12,boxscore,CIN,,KCR,L,4,5,,8-10,3,5.5,Keller,Miley,Rosenthal,3:40,N,,1.15,-,
19,Thursday Aug 13,boxscore,CIN,,PIT,L,6,9,,8-11,3,6.5,Williams,DeSclafani,,3:21,N,,1.18,--,
20,Friday Aug 14,boxscore,CIN,,PIT,W,8,1,,9-11,3,5.5,Gray,Kuhl,,2:50,N,,1.14,+,
21,Wednesday Aug 19 (1),boxscore,CIN,@,KCR,L,0,4,7,9-12,4,5.0,Keller,Castillo,Rosenthal,2:11,D,,1.10,-,
22,Wednesday Aug 19 (2),boxscore,CIN,@,KCR,W,5,0,7,10-12,4,5.0,Bauer,Harvey,,2:22,N,,1.13,+,
23,Thursday Aug 20,boxscore,CIN,@,STL,L-wo,4,5,,10-13,4,5.5,Elledge,Iglesias,,3:12,N,,1.32,-,
24,Friday Aug 21,boxscore,CIN,@,STL,W,4,2,,11-13,3,4.5,Lorenzen,Cabrera,Iglesias,3:10,N,,1.28,+,
25,Saturday Aug 22,boxscore,CIN,@,STL,L,0,3,,11-14,3,4.5,Kim,Miley,Gallegos,2:15,N,,1.41,-,
26,Sunday Aug 23,boxscore,CIN,@,STL,L,2,6,,11-15,3,5.5,Cabrera,Mahle,,3:03,D,,1.39,--,
27,Monday Aug 24,boxscore,CIN,@,MIL,L,2,4,,11-16,4,6.5,Anderson,Bauer,Hader,2:35,N,,1.29,---,
