
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,CLE,,KCR,W,2,0,,1-0,1,Tied,Bieber,Duffy,Hand,2:58,N,,1.18,+,
2,Saturday Jul 25,boxscore,CLE,,KCR,L,2,3,10,1-1,1,Tied,Barlow,Karinchak,Holland,2:52,N,,1.21,-,
3,Sunday Jul 26,boxscore,CLE,,KCR,W,9,2,,2-1,1,Tied,Carrasco,Bolanos,,3:04,D,,1.21,+,
4,Tuesday Jul 28 (1),boxscore,CLE,,CHW,W,4,3,,3-1,1,up 0.5,Civale,Cease,Hand,3:15,D,,1.21,++,
5,Tuesday Jul 28 (2),boxscore,CLE,,CHW,W,5,3,,4-1,1,up 0.5,Plutko,Rodon,Hill,2:43,D,,1.19,+++,
6,Wednesday Jul 29,boxscore,CLE,,CHW,L,0,4,,4-2,2,0.5,Bummer,Hand,,2:57,N,,1.18,-,
7,Thursday Jul 30,boxscore,CLE,@,MIN,W,2,0,,5-2,1,up 0.5,Bieber,Berrios,Karinchak,2:52,N,,1.23,+,
8,Friday Jul 31,boxscore,CLE,@,MIN,L,1,4,,5-3,2,0.5,Dobnak,Clevinger,Rogers,3:06,N,,1.20,-,
9,Saturday Aug 1,boxscore,CLE,@,MIN,L,0,3,,5-4,3,1.5,Maeda,Carrasco,Rogers,2:40,N,,1.22,--,
10,Sunday Aug 2,boxscore,CLE,@,MIN,L,1,3,,5-5,3,2.5,Smeltzer,Civale,Romo,2:54,D,,1.26,---,
11,Monday Aug 3,boxscore,CLE,@,CIN,L,2,3,,5-6,4,3.5,Gray,Plesac,Iglesias,2:33,N,,1.13,----,
12,Tuesday Aug 4,boxscore,CLE,@,CIN,W,4,2,,6-6,3,3.5,Bieber,Jones,Hand,2:59,N,,1.13,+,
13,Wednesday Aug 5,boxscore,CLE,,CIN,W,2,0,,7-6,3,3.5,Clevinger,Antone,Hand,2:56,N,,1.14,++,
14,Thursday Aug 6,boxscore,CLE,,CIN,W,13,0,,8-6,2,2.5,Carrasco,Castillo,,2:53,N,,1.16,+++,
15,Friday Aug 7,boxscore,CLE,@,CHW,L,0,2,,8-7,3,2.5,Cease,Civale,Colome,2:48,N,,1.25,-,
16,Saturday Aug 8,boxscore,CLE,@,CHW,W,7,1,,9-7,2,1.5,Plesac,Anderson,,3:11,D,,1.31,+,
17,Sunday Aug 9,boxscore,CLE,@,CHW,W,5,4,10,10-7,2,0.5,Maton,Cordero,Perez,3:20,N,,1.32,++,
18,Tuesday Aug 11,boxscore,CLE,,CHC,L,1,7,,10-8,3,1.0,Lester,Plutko,,3:14,N,,1.15,-,
19,Wednesday Aug 12,boxscore,CLE,,CHC,L,2,7,,10-9,3,2.0,Hendricks,Carrasco,,3:32,N,,1.22,--,
