Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,COL,@,TEX,L,0,1,,0-1,3,1.5,Lynn,Marquez,Leclerc,2:57,N,,1.07,-,
2,Saturday Jul 25,boxscore,COL,@,TEX,W,3,2,,1-1,3,1.0,Bard,Minor,Davis,3:34,D,,1.05,+,
3,Sunday Jul 26,boxscore,COL,@,TEX,W,5,2,,2-1,1,Tied,Freeland,Palumbo,Davis,3:05,D,,1.08,++,
4,Tuesday Jul 28,boxscore,COL,@,OAK,W,8,3,,3-1,2,0.5,Senzatela,Mengden,,2:58,N,,1.06,+++,
5,Wednesday Jul 29,boxscore,COL,@,OAK,W,5,1,,4-1,1,up 0.5,Marquez,Montas,,2:55,D,,1.08,++++,
6,Friday Jul 31,boxscore,COL,,SDP,L,7,8,,4-2,2,1.0,Stammen,Davis,Pomeranz,3:37,N,,1.19,-,
7,Saturday Aug 1,boxscore,COL,,SDP,W,6,1,,5-2,1,Tied,Freeland,Lucchesi,,2:50,N,,1.18,+,
8,Sunday Aug 2,boxscore,COL,,SDP,W,9,6,,6-2,1,Tied,Senzatela,Davies,Diaz,2:52,D,,1.18,++,
9,Monday Aug 3,boxscore,COL,,SFG,W,7,6,,7-2,1,up 1.0,Hoffman,Peralta,Diaz,2:48,N,,1.14,+++,
10,Tuesday Aug 4,boxscore,COL,,SFG,W,5,2,,8-2,1,up 1.0,Marquez,Gausman,Almonte,2:36,N,,1.10,++++,
11,Wednesday Aug 5,boxscore,COL,,SFG,L,3,4,,8-3,1,Tied,Webb,Gray,Gott,2:48,N,,1.02,-,
12,Thursday Aug 6,boxscore,COL,,SFG,W,6,4,,9-3,1,up 0.5,Almonte,Garcia,Diaz,3:06,D,,1.12,+,
13,Friday Aug 7,boxscore,COL,@,SEA,W,8,4,,10-3,1,up 0.5,Senzatela,Kikuchi,,3:13,N,,.96,++,
14,Saturday Aug 8,boxscore,COL,@,SEA,W,5,0,,11-3,1,up 1.5,Hoffman,Misiewicz,,2:49,N,,.87,+++,
15,Sunday Aug 9,boxscore,COL,@,SEA,L,3,5,,11-4,1,up 0.5,Sheffield,Marquez,Williams,2:45,D,,.77,-,
16,Monday Aug 10,boxscore,COL,,ARI,L,8,12,,11-5,1,up 0.5,Young,Gray,Bradley,3:43,N,,.95,--,
17,Tuesday Aug 11,boxscore,COL,,ARI,W,8,7,,12-5,1,up 1.5,Estevez,Ginkel,Bard,3:16,N,,1.04,+,
18,Wednesday Aug 12,boxscore,COL,,ARI,L,7,13,,12-6,1,up 0.5,Chafin,Kinley,,3:56,D,,.95,-,
19,Friday Aug 14,boxscore,COL,,TEX,L,2,3,,12-7,2,1.0,Lynn,Bard,,2:33,N,,.94,--,
20,Saturday Aug 15,boxscore,COL,,TEX,L,4,6,,12-8,2,2.0,Gibson,Marquez,Montero,3:22,N,,1.05,---,
