Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,DET,@,CIN,L,1,7,,0-1,3,1.0,Gray,Boyd,,2:45,N,,1.06,-,
2,Saturday Jul 25,boxscore,DET,@,CIN,W,6,4,,1-1,1,Tied,Farmer,Iglesias,Jimenez,3:01,N,,1.04,+,
3,Sunday Jul 26,boxscore,DET,@,CIN,W,3,2,,2-1,1,Tied,Cisnero,Lorenzen,Jimenez,3:04,D,,1.10,++,
4,Monday Jul 27,boxscore,DET,,KCR,L,6,14,,2-2,3,0.5,Griffin,Funkhouser,,3:20,N,,1.19,-,
5,Tuesday Jul 28,boxscore,DET,,KCR,W,4,3,,3-2,3,1.0,Alexander,Zuber,Jimenez,2:25,N,,1.19,+,
6,Wednesday Jul 29,boxscore,DET,,KCR,W,5,4,,4-2,2,0.5,Garcia,Kennedy,Jimenez,2:40,N,,1.21,++,
7,Thursday Jul 30,boxscore,DET,,KCR,L,3,5,,4-3,3,1.0,Holland,Cisnero,Rosenthal,2:49,N,,1.23,-,
8,Friday Jul 31,boxscore,DET,,CIN,W,7,2,,5-3,2,0.5,Turnbull,Castillo,,2:31,N,,1.12,+,
9,Sunday Aug 2 (1),boxscore,DET,,CIN,L,3,4,7,5-4,3,2.5,Iglesias,Jimenez,,2:25,D,,1.12,-,
10,Sunday Aug 2 (2),boxscore,DET,,CIN,L,0,4,7,5-5,3,2.5,Bauer,Norris,,2:36,D,,1.12,--,
11,Friday Aug 7,boxscore,DET,@,PIT,W,17,13,11,6-5,3,2.5,Garcia,Neverauskas,,4:33,N,,1.12,+,
12,Saturday Aug 8,boxscore,DET,@,PIT,W,11,5,,7-5,2,1.5,Nova,Holland,,3:22,D,,1.14,++,
13,Sunday Aug 9,boxscore,DET,@,PIT,W,2,1,,8-5,2,0.5,Turnbull,Rodriguez,Jimenez,2:45,D,,1.14,+++,
14,Monday Aug 10,boxscore,DET,,CHW,W,5,1,,9-5,2,0.5,Norris,Keuchel,,2:47,N,,1.25,++++,
15,Tuesday Aug 11,boxscore,DET,,CHW,L,4,8,,9-6,2,0.5,Foster,Alexander,,2:51,N,,1.23,-,
16,Wednesday Aug 12,boxscore,DET,,CHW,L,5,7,,9-7,2,1.5,Cease,Boyd,Colome,3:12,D,,1.29,--,
17,Friday Aug 14,boxscore,DET,,CLE,L,5,10,,9-8,3,2.0,Civale,Nova,,2:55,N,,1.39,---,
18,Saturday Aug 15,boxscore,DET,,CLE,L,1,3,,9-9,3,2.5,Bieber,Turnbull,Hand,3:12,N,,1.43,----,
19,Sunday Aug 16,boxscore,DET,,CLE,L,5,8,,9-10,4,3.5,Perez,Schreiber,,3:26,D,,1.40,-----,
20,Monday Aug 17,boxscore,DET,@,CHW,L,2,7,,9-11,4,4.5,Heuer,Boyd,,3:12,N,,1.34,------,
21,Tuesday Aug 18,boxscore,DET,@,CHW,L,4,10,,9-12,4,5.5,Cease,Skubal,,3:00,N,,1.29,-------,
22,Wednesday Aug 19,boxscore,DET,@,CHW,L,3,5,,9-13,4,5.5,Marshall,Soto,Colome,2:31,N,,1.19,--------,
23,Thursday Aug 20,boxscore,DET,@,CHW,L,0,9,,9-14,4,6.5,Giolito,Turnbull,,2:56,D,,1.08,---------,
24,Friday Aug 21,boxscore,DET,@,CLE,W,10,5,,10-14,4,5.5,Garcia,Plutko,,3:18,N,,.88,+,
25,Saturday Aug 22,boxscore,DET,@,CLE,L,1,6,,10-15,4,6.5,McKenzie,Boyd,,2:37,N,,1.04,-,
26,Sunday Aug 23,boxscore,DET,@,CLE,W,7,4,,11-15,4,6.5,Norris,Carrasco,,3:22,D,,.88,+,
27,Monday Aug 24,boxscore,DET,,CHC,L,3,9,,11-16,4,7.5,Mills,Mize,,3:01,N,,.98,-,
28,Tuesday Aug 25,boxscore,DET,,CHC,W,7,1,,12-16,4,6.5,Turnbull,Chatwood,,3:13,N,,.83,+,
29,Wednesday Aug 26,boxscore,DET,,CHC,W,7,6,,13-16,4,5.5,Jimenez,Tepera,,3:23,N,,.94,++,
30,Saturday Aug 29 (1),boxscore,DET,,MIN,W,8,2,7,14-16,4,5.0,Boyd,Dobnak,,2:11,D,,1.14,+++,
31,Saturday Aug 29 (2),boxscore,DET,,MIN,W,4,2,7,15-16,4,5.0,Skubal,Duffey,Soto,2:12,D,,1.30,++++,
32,Sunday Aug 30,boxscore,DET,,MIN,W,3,2,,16-16,4,4.0,Alexander,Maeda,Soto,2:41,D,,1.41,+++++,
33,Tuesday Sep 1,boxscore,DET,@,MIL,W,12,1,,17-16,4,3.5,Norris,Lindblom,,3:34,N,,1.42,++++++,
34,Wednesday Sep 2,boxscore,DET,@,MIL,L,5,8,,17-17,4,4.5,Yardley,Jimenez,Hader,3:20,N,,1.50,-,
35,Friday Sep 4 (1),boxscore,DET,@,MIN,L,0,2,7,17-18,4,5.5,Dobnak,Boyd,Rogers,1:45,D,,1.56,--,
36,Friday Sep 4 (2),boxscore,DET,@,MIN,L,2,3,8,17-19,4,5.5,Romo,Jimenez,May,2:57,D,,1.50,---,
37,Saturday Sep 5,boxscore,DET,@,MIN,L-wo,3,4,,17-20,4,6.5,Alcala,Cisnero,,2:52,N,,1.33,----,
38,Sunday Sep 6,boxscore,DET,@,MIN,W,10,8,,18-20,4,6.5,Funkhouser,Romo,Garcia,3:43,D,,1.14,+,
