Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,HOU,,SEA,W,8,2,,1-0,1,Tied,Verlander,Gonzales,,2:49,N,,1.17,+,
2,Saturday Jul 25,boxscore,HOU,,SEA,W,7,2,,2-0,1,up 1.0,McCullers,Walker,,2:53,D,,1.19,++,
3,Sunday Jul 26,boxscore,HOU,,SEA,L,6,7,,2-1,1,Tied,Altavilla,Devenski,Williams,3:41,D,,1.20,-,
4,Monday Jul 27,boxscore,HOU,,SEA,W,8,5,,3-1,1,Tied,Bielak,Graveman,Osuna,3:04,N,,1.19,+,
5,Tuesday Jul 28,boxscore,HOU,,LAD,L,2,5,,3-2,1,Tied,Kolarek,Valdez,Jansen,3:19,N,,1.09,-,
6,Wednesday Jul 29,boxscore,HOU,,LAD,L,2,4,13,3-3,1,Tied,Santana,Sneed,,4:44,N,,1.09,--,
7,Friday Jul 31,boxscore,HOU,@,LAA,W,9,6,,4-3,1,up 0.5,Bielak,Andriese,Scrubb,4:21,N,,1.22,+,
8,Saturday Aug 1,boxscore,HOU,@,LAA,L-wo,4,5,10,4-4,1,Tied,Buchter,Rodriguez,,3:58,D,,1.25,-,
9,Sunday Aug 2,boxscore,HOU,@,LAA,W,6,5,11,5-4,1,Tied,Taylor,Barnes,,4:37,D,,1.26,+,
10,Tuesday Aug 4,boxscore,HOU,@,ARI,W,8,2,,6-4,2,0.5,Javier,Bumgarner,,3:09,N,,1.10,++,
11,Wednesday Aug 5,boxscore,HOU,@,ARI,L,7,14,,6-5,2,1.5,Ray,McCullers,,3:14,N,,1.12,-,
12,Thursday Aug 6,boxscore,HOU,@,ARI,L-wo,4,5,,6-6,2,2.5,Guerra,Pressly,,3:15,D,,1.11,--,
13,Friday Aug 7,boxscore,HOU,@,OAK,L-wo,2,3,13,6-7,2,3.5,Wendelken,Sneed,,4:13,N,,1.29,---,
14,Saturday Aug 8,boxscore,HOU,@,OAK,L,1,3,,6-8,2,4.5,Montas,Valdez,Hendriks,2:24,D,,1.27,----,
