Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,KCR,@,CLE,L,0,2,,0-1,3,1.0,Bieber,Duffy,Hand,2:58,N,,1.17,-,
2,Saturday Jul 25,boxscore,KCR,@,CLE,W,3,2,10,1-1,1,Tied,Barlow,Karinchak,Holland,2:52,N,,1.19,+,
3,Sunday Jul 26,boxscore,KCR,@,CLE,L,2,9,,1-2,4,1.0,Carrasco,Bolanos,,3:04,D,,1.19,-,
4,Monday Jul 27,boxscore,KCR,@,DET,W,14,6,,2-2,3,0.5,Griffin,Funkhouser,,3:20,N,,1.19,+,
5,Tuesday Jul 28,boxscore,KCR,@,DET,L,3,4,,2-3,4,2.0,Alexander,Zuber,Jimenez,2:25,N,,1.22,-,
6,Wednesday Jul 29,boxscore,KCR,@,DET,L,4,5,,2-4,4,2.5,Garcia,Kennedy,Jimenez,2:40,N,,1.21,--,
7,Thursday Jul 30,boxscore,KCR,@,DET,W,5,3,,3-4,4,2.0,Holland,Cisnero,Rosenthal,2:49,N,,1.20,+,
8,Friday Jul 31,boxscore,KCR,,CHW,L,2,3,,3-5,5,2.5,Keuchel,Bubic,Colome,2:56,N,,1.23,-,
9,Saturday Aug 1,boxscore,KCR,,CHW,L,5,11,,3-6,5,3.5,Foster,Bolanos,Heuer,3:44,N,,1.18,--,
10,Sunday Aug 2,boxscore,KCR,,CHW,L,2,9,,3-7,5,4.5,Cease,Barlow,,3:01,D,,1.15,---,
11,Monday Aug 3,boxscore,KCR,@,CHC,L,0,2,,3-8,5,5.5,Mills,Duffy,Wick,2:43,N,,.99,----,
12,Tuesday Aug 4,boxscore,KCR,@,CHC,L,4,5,,3-9,5,6.5,Hendricks,Singer,Ryan,2:51,N,,.90,-----,
13,Wednesday Aug 5,boxscore,KCR,,CHC,L,1,6,,3-10,5,7.5,Darvish,Bubic,,3:09,N,,.81,------,
14,Thursday Aug 6,boxscore,KCR,,CHC,W,13,2,,4-10,5,6.5,Keller,Chatwood,,3:02,N,,.71,+,
15,Friday Aug 7,boxscore,KCR,,MIN,W,3,2,,5-10,5,5.5,Holland,Wisler,Rosenthal,2:53,N,,.90,++,
16,Saturday Aug 8,boxscore,KCR,,MIN,W,9,6,,6-10,5,4.5,Zuber,Thorpe,Rosenthal,3:55,N,,.98,+++,
17,Sunday Aug 9,boxscore,KCR,,MIN,W,4,2,,7-10,5,3.5,Singer,Berrios,Barlow,3:16,D,,1.09,++++,
18,Tuesday Aug 11,boxscore,KCR,@,CIN,L-wo,5,6,10,7-11,5,4.0,Sims,Staumont,,3:33,N,,1.03,-,
19,Wednesday Aug 12,boxscore,KCR,@,CIN,W,5,4,,8-11,5,4.0,Keller,Miley,Rosenthal,3:40,N,,1.00,+,
20,Saturday Aug 15 (1),boxscore,KCR,@,MIN,L,2,4,7,8-12,5,4.0,Duffey,Speier,Rogers,2:30,D,,1.16,-,
21,Saturday Aug 15 (2),boxscore,KCR,@,MIN,W,4,2,7,9-12,5,4.0,Duffy,Berrios,Rosenthal,2:42,D,,1.09,+,
22,Sunday Aug 16,boxscore,KCR,@,MIN,L,2,4,,9-13,5,5.0,Dobnak,Singer,Romo,2:37,D,,1.22,-,
23,Monday Aug 17,boxscore,KCR,@,MIN,L,1,4,,9-14,5,6.0,Smeltzer,Bubic,,3:06,N,,1.11,--,
24,Wednesday Aug 19 (1),boxscore,KCR,,CIN,W,4,0,7,10-14,5,6.0,Keller,Castillo,Rosenthal,2:11,D,,.89,+,
25,Wednesday Aug 19 (2),boxscore,KCR,,CIN,L,0,5,7,10-15,5,6.0,Bauer,Harvey,,2:22,N,,.89,-,
26,Friday Aug 21,boxscore,KCR,,MIN,W,7,2,,11-15,4,5.5,Duffy,Odorizzi,,3:14,N,,.90,+,
27,Saturday Aug 22,boxscore,KCR,,MIN,L,2,7,,11-16,4,6.5,Dobnak,Singer,,3:23,N,,1.01,-,
28,Sunday Aug 23,boxscore,KCR,,MIN,L,4,5,,11-17,5,7.5,Clippard,Bubic,Rogers,3:35,D,,.87,--,
29,Monday Aug 24,boxscore,KCR,@,STL,L,3,9,,11-18,5,8.5,Flaherty,Keller,,3:10,N,,.69,---,
