
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Jul 23,boxscore,LAD,,SFG,W,8,1,,1-0,1,up 0.5,Kolarek,Rogers,,2:56,N,,1.17,+,
2,Friday Jul 24,boxscore,LAD,,SFG,W,9,1,,2-0,1,up 0.5,Stripling,Anderson,,2:55,N,,1.19,++,
3,Saturday Jul 25,boxscore,LAD,,SFG,L,4,5,,2-1,2,0.5,Baragar,Wood,Gott,3:16,D,,1.19,-,
4,Sunday Jul 26,boxscore,LAD,,SFG,L,1,3,,2-2,3,0.5,Peralta,Graterol,Gott,3:28,N,,1.20,--,
5,Tuesday Jul 28,boxscore,LAD,@,HOU,W,5,2,,3-2,3,1.0,Kolarek,Valdez,Jansen,3:19,N,,1.08,+,
6,Wednesday Jul 29,boxscore,LAD,@,HOU,W,4,2,13,4-2,2,0.5,Santana,Sneed,,4:44,N,,1.11,++,
7,Thursday Jul 30,boxscore,LAD,@,ARI,W,6,3,,5-2,1,Tied,Stripling,Ray,Baez,3:19,N,,1.23,+++,
8,Friday Jul 31,boxscore,LAD,@,ARI,L,3,5,,5-3,2,1.0,Rondon,Treinen,Bradley,3:15,N,,1.21,-,
9,Saturday Aug 1,boxscore,LAD,@,ARI,W,11,2,,6-3,1,Tied,Urias,Weaver,,2:49,N,,1.22,+,
10,Sunday Aug 2,boxscore,LAD,@,ARI,W,3,0,,7-3,1,Tied,Kershaw,Kelly,Jansen,2:56,D,,1.17,++,
11,Monday Aug 3,boxscore,LAD,@,SDP,L,4,5,,7-4,2,1.0,Paddack,Graterol,Yates,2:44,N,,1.18,-,
12,Tuesday Aug 4,boxscore,LAD,@,SDP,W,5,2,,8-4,2,1.0,May,Stammen,Jansen,3:04,N,,1.25,+,
13,Wednesday Aug 5,boxscore,LAD,@,SDP,W,7,6,,9-4,1,Tied,Stripling,Richards,Jansen,3:11,N,,1.17,++,
14,Friday Aug 7,boxscore,LAD,,SFG,W,7,2,,10-4,2,0.5,Floro,Samardzija,,3:16,N,,1.15,+++,
15,Saturday Aug 8,boxscore,LAD,,SFG,L,4,5,,10-5,2,1.5,Cueto,Kershaw,Gott,2:54,N,,1.02,-,
16,Sunday Aug 9,boxscore,LAD,,SFG,W,6,2,,11-5,2,0.5,McGee,Rogers,,2:41,D,,1.17,+,
17,Monday Aug 10,boxscore,LAD,,SDP,L,1,2,,11-6,2,0.5,Quantrill,May,Pomeranz,2:56,N,,1.05,-,
18,Tuesday Aug 11,boxscore,LAD,,SDP,L,2,6,,11-7,2,1.5,Richards,Stripling,Pomeranz,3:02,N,,1.16,--,
19,Wednesday Aug 12,boxscore,LAD,,SDP,W,6,0,,12-7,2,0.5,Treinen,Davies,,2:52,N,,1.24,+,
20,Thursday Aug 13,boxscore,LAD,,SDP,W,11,2,,13-7,1,Tied,Urias,Paddack,,2:45,N,,1.17,++,
21,Friday Aug 14,boxscore,LAD,@,LAA,W,7,4,,14-7,1,up 1.0,Kershaw,Sandoval,Jansen,2:58,N,,.93,+++,
22,Saturday Aug 15,boxscore,LAD,@,LAA,W,6,5,10,15-7,1,up 2.0,McGee,Middleton,Jansen,3:17,N,,.82,++++,
