Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,MIA,@,PHI,W,5,2,,1-0,1,Tied,Alcantara,Nola,Kintzler,3:10,N,,1.18,+,
2,Saturday Jul 25,boxscore,MIA,@,PHI,L,1,7,,1-1,1,Tied,Wheeler,Vesia,,2:54,D,,1.18,-,
3,Sunday Jul 26,boxscore,MIA,@,PHI,W,11,6,,2-1,1,Tied,Tarpley,Irvin,,3:44,D,,1.17,+,
4,Tuesday Aug 4,boxscore,MIA,@,BAL,W,4,0,,3-1,2,1.0,Lopez,Means,,2:38,N,,1.08,++,
5,Wednesday Aug 5 (1),boxscore,MIA,@,BAL,W,1,0,7,4-1,1,up 0.5,Vincent,Cobb,Kintzler,2:19,N,,1.09,+++,
6,Wednesday Aug 5 (2),boxscore,MIA,@,BAL,W,2,1,7,5-1,1,up 0.5,Moran,Wojciechowski,Tarpley,2:06,N,,1.06,++++,
7,Thursday Aug 6,boxscore,MIA,@,BAL,W,8,7,,6-1,1,up 0.5,Morin,Phillips,Kintzler,2:58,N,,1.00,+++++,
8,Friday Aug 7,boxscore,MIA,@,NYM,W,4,3,,7-1,1,up 1.0,Tarpley,Wacha,Vincent,3:34,N,,1.10,++++++,
9,Saturday Aug 8,boxscore,MIA,@,NYM,L,4,8,,7-2,1,up 1.0,Peterson,Castano,,3:03,N,,1.00,-,
10,Sunday Aug 9,boxscore,MIA,@,NYM,L,2,4,,7-3,2,0.5,deGrom,Lopez,Lugo,3:09,D,,1.07,--,
11,Tuesday Aug 11,boxscore,MIA,@,TOR,L-wo,4,5,10,7-4,1,Tied,Cole,Tarpley,,3:20,N,,1.02,---,
12,Wednesday Aug 12,boxscore,MIA,@,TOR,W,14,11,10,8-4,1,up 1.0,Kintzler,Dolis,Smith,4:20,N,,1.07,+,
13,Friday Aug 14,boxscore,MIA,,ATL,W,8,2,,9-4,1,up 2.0,Lopez,Wright,,2:59,N,,1.13,++,
14,Saturday Aug 15,boxscore,MIA,,ATL,L,1,2,,9-5,1,up 1.0,Smith,Kintzler,Melancon,2:59,N,,1.08,-,
15,Sunday Aug 16,boxscore,MIA,,ATL,L,0,4,,9-6,1,Tied,O'Day,Vincent,,2:58,D,,1.16,--,
16,Monday Aug 17,boxscore,MIA,,NYM,L,4,11,,9-7,2,1.0,Shreve,Yamamoto,Kilome,3:55,N,,1.20,---,
17,Tuesday Aug 18,boxscore,MIA,,NYM,L,3,8,,9-8,2,1.0,Wilson,Mejia,,3:20,N,,1.30,----,
18,Wednesday Aug 19,boxscore,MIA,,NYM,L,3,5,,9-9,2,1.5,Diaz,Kintzler,,3:14,N,,1.36,-----,
19,Friday Aug 21,boxscore,MIA,@,WSN,W,3,2,,10-9,2,1.5,Hernandez,Corbin,Kintzler,3:06,N,,1.39,+,
20,Saturday Aug 22 (1),boxscore,MIA,@,WSN,L,4,5,7,10-10,2,2.0,Finnegan,Castano,Hudson,2:58,D,,1.37,-,
21,Saturday Aug 22 (2),boxscore,MIA,@,WSN,W,5,3,7,11-10,2,2.0,Sanchez,Crowe,Kintzler,2:31,N,,1.41,+,
22,Sunday Aug 23,boxscore,MIA,@,WSN,L,3,9,,11-11,2,2.0,Sanchez,Mejia,,3:12,D,,1.37,-,
23,Monday Aug 24,boxscore,MIA,@,WSN,W,11,8,,12-11,2,1.5,Lopez,Voth,Kintzler,4:02,N,,1.41,+,
24,Tuesday Aug 25 (1),boxscore,MIA,@,NYM,W,4,0,7,13-11,2,0.5,Bleier,Porcello,,2:37,N,,1.39,++,
25,Tuesday Aug 25 (2),boxscore,MIA,@,NYM,W,3,0,7,14-11,2,0.5,Smith,Hughes,Vincent,2:24,N,,1.41,+++,
26,Wednesday Aug 26,boxscore,MIA,@,NYM,L,4,5,,14-12,2,2.0,Brach,Vincent,,3:16,N,,1.28,-,
27,Friday Aug 28,boxscore,MIA,,TBR,L,0,2,,14-13,2,2.0,Fairbanks,Bleier,Castillo,2:55,N,,1.22,--,
28,Saturday Aug 29,boxscore,MIA,,TBR,L,0,4,,14-14,2,2.0,Fleming,Lopez,,2:47,N,,1.35,---,
29,Sunday Aug 30,boxscore,MIA,,TBR,L,7,12,,14-15,2,3.0,Snell,Alcantara,,3:26,D,,1.36,----,
