Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,MIL,@,CHC,L,0,3,,0-1,4,1.0,Hendricks,Woodruff,,2:30,N,,1.17,-,
2,Saturday Jul 25,boxscore,MIL,@,CHC,W,8,3,,1-1,2,1.0,Suter,Darvish,,3:36,D,,1.17,+,
3,Sunday Jul 26,boxscore,MIL,@,CHC,L,1,9,,1-2,3,1.0,Chatwood,Peralta,,3:04,D,,1.19,-,
4,Monday Jul 27,boxscore,MIL,@,PIT,W,6,5,11,2-2,3,1.0,Phelps,Neverauskas,,3:54,N,,1.21,+,
5,Tuesday Jul 28,boxscore,MIL,@,PIT,L,6,8,,2-3,3,2.0,Hartlieb,Wahl,Burdi,3:22,N,,1.20,-,
6,Wednesday Jul 29,boxscore,MIL,@,PIT,W,3,0,,3-3,2,1.0,Woodruff,Musgrove,Hader,3:02,N,,1.21,+,
7,Monday Aug 3,boxscore,MIL,,CHW,L,4,6,,3-4,3,3.5,Detwiler,Phelps,Colome,3:43,N,,1.09,-,
8,Tuesday Aug 4,boxscore,MIL,,CHW,L,2,3,,3-5,4,4.5,Giolito,Williams,Colome,3:14,N,,1.10,--,
9,Wednesday Aug 5,boxscore,MIL,@,CHW,W,1,0,,4-5,2,4.5,Houser,Keuchel,Hader,2:21,N,,1.06,+,
10,Thursday Aug 6,boxscore,MIL,@,CHW,W,8,3,,5-5,2,3.5,Lindblom,Gonzalez,,3:41,N,,1.08,++,
11,Friday Aug 7,boxscore,MIL,,CIN,L,3,8,,5-6,2,4.0,Bauer,Lauer,,2:59,N,,1.29,-,
12,Saturday Aug 8,boxscore,MIL,,CIN,L,1,4,,5-7,4,4.5,DeSclafani,Anderson,Iglesias,2:40,N,,1.25,--,
13,Sunday Aug 9,boxscore,MIL,,CIN,W,9,3,,6-7,2,4.0,Suter,Gray,,3:14,D,,1.26,+,
14,Monday Aug 10,boxscore,MIL,,MIN,L,2,4,,6-8,3,4.5,Dobnak,Houser,Rogers,2:57,N,,1.12,-,
15,Tuesday Aug 11,boxscore,MIL,,MIN,W,6,4,,7-8,2,4.5,Williams,Rogers,Hader,2:56,N,,1.11,+,
16,Wednesday Aug 12,boxscore,MIL,,MIN,L,2,12,,7-9,3,5.5,Maeda,Lauer,,3:08,N,,1.12,-,
17,Thursday Aug 13,boxscore,MIL,@,CHC,L,2,4,,7-10,3,6.5,Darvish,Anderson,Wick,3:06,N,,1.15,--,
18,Friday Aug 14,boxscore,MIL,@,CHC,W,4,3,,8-10,3,5.5,Peralta,Mills,Hader,3:13,N,,1.14,+,
19,Saturday Aug 15,boxscore,MIL,@,CHC,W,6,5,10,9-10,3,4.5,Phelps,Jeffress,Claudio,3:24,D,,1.21,++,
20,Sunday Aug 16,boxscore,MIL,@,CHC,W,6,5,,10-10,2,3.5,Yardley,Adam,Hader,3:11,D,,1.29,+++,
21,Tuesday Aug 18,boxscore,MIL,@,MIN,L-wo,3,4,12,10-11,2,4.5,Alcala,Phelps,,4:28,N,,1.22,-,
22,Wednesday Aug 19,boxscore,MIL,@,MIN,W,9,3,,11-11,2,4.0,Anderson,Hill,,2:59,N,,1.21,+,
23,Thursday Aug 20,boxscore,MIL,@,MIN,L,1,7,,11-12,3,4.5,Berrios,Woodruff,,2:58,N,,1.24,-,
24,Friday Aug 21,boxscore,MIL,@,PIT,L,2,7,,11-13,3,4.5,Kuhl,Houser,,2:53,N,,1.25,--,
25,Saturday Aug 22,boxscore,MIL,@,PIT,L,5,12,,11-14,3,4.5,Holland,Lindblom,,3:30,D,,1.25,---,
26,Sunday Aug 23,boxscore,MIL,@,PIT,L,4,5,,11-15,3,5.5,Stratton,Phelps,Rodriguez,3:11,D,,1.26,----,
27,Monday Aug 24,boxscore,MIL,,CIN,W,4,2,,12-15,3,5.5,Anderson,Bauer,Hader,2:35,N,,1.28,+,
28,Tuesday Aug 25,boxscore,MIL,,CIN,W,3,2,,13-15,3,4.5,Woodruff,Castillo,Hader,2:47,N,,1.35,++,
29,Thursday Aug 27 (1),boxscore,MIL,,CIN,L,1,6,7,13-16,3,5.0,Gray,Houser,,2:51,D,,1.43,-,
30,Thursday Aug 27 (2),boxscore,MIL,,CIN,L,0,6,7,13-17,3,5.0,Sims,Lindblom,,2:33,N,,1.43,--,
31,Friday Aug 28,boxscore,MIL,,PIT,W,9,1,,14-17,3,4.0,Burnes,Holland,,2:55,N,,1.24,+,
32,Saturday Aug 29,boxscore,MIL,,PIT,W-wo,7,6,,15-17,2,3.5,Williams,Rodriguez,,3:19,N,,1.32,++,
33,Sunday Aug 30,boxscore,MIL,,PIT,L,1,5,,15-18,3,4.5,Tropeano,Woodruff,,3:13,D,,1.40,-,
34,Monday Aug 31,boxscore,MIL,,PIT,W,6,5,,16-18,3,4.0,Williams,Turley,Hader,3:25,N,,1.36,+,
35,Tuesday Sep 1,boxscore,MIL,,DET,L,1,12,,16-19,3,5.0,Norris,Lindblom,,3:34,N,,1.34,-,
36,Wednesday Sep 2,boxscore,MIL,,DET,W,8,5,,17-19,3,5.0,Yardley,Jimenez,Hader,3:20,N,,1.28,+,
37,Friday Sep 4,boxscore,MIL,@,CLE,W,7,1,,18-19,2,4.5,Burnes,Maton,,2:55,N,,1.34,++,
38,Saturday Sep 5,boxscore,MIL,@,CLE,L-wo,3,4,,18-20,3,4.0,Hand,Hader,,3:21,N,,1.30,-,
39,Sunday Sep 6,boxscore,MIL,@,CLE,L,1,4,,18-21,3,4.0,Bieber,Anderson,Hand,3:13,D,,1.37,--,
40,Tuesday Sep 8,boxscore,MIL,@,DET,L,3,8,,18-22,3,5.5,Turnbull,Houser,,3:05,N,,1.33,---,
41,Wednesday Sep 9,boxscore,MIL,@,DET,W,19,0,,19-22,3,4.5,Burnes,Boyd,,3:04,D,,1.20,+,
