Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,MIN,@,CHW,W,10,5,,1-0,1,Tied,May,Giolito,,3:31,N,,1.17,+,
2,Saturday Jul 25,boxscore,MIN,@,CHW,L,3,10,,1-1,1,Tied,Keuchel,Dobnak,,3:17,D,,1.18,-,
3,Sunday Jul 26,boxscore,MIN,@,CHW,W,14,2,,2-1,1,Tied,Maeda,Lopez,,3:38,D,,1.22,+,
4,Tuesday Jul 28,boxscore,MIN,,STL,W,6,3,,3-1,2,0.5,Bailey,Martinez,Romo,2:42,N,,1.09,++,
5,Wednesday Jul 29,boxscore,MIN,,STL,W,3,0,,4-1,1,up 0.5,Hill,Ponce de Leon,Rogers,2:53,N,,1.10,+++,
6,Thursday Jul 30,boxscore,MIN,,CLE,L,0,2,,4-2,2,0.5,Bieber,Berrios,Karinchak,2:52,N,,1.19,-,
7,Friday Jul 31,boxscore,MIN,,CLE,W,4,1,,5-2,1,up 0.5,Dobnak,Clevinger,Rogers,3:06,N,,1.22,+,
8,Saturday Aug 1,boxscore,MIN,,CLE,W,3,0,,6-2,1,up 1.0,Maeda,Carrasco,Rogers,2:40,N,,1.18,++,
9,Sunday Aug 2,boxscore,MIN,,CLE,W,3,1,,7-2,1,up 2.0,Smeltzer,Civale,Romo,2:54,D,,1.18,+++,
10,Monday Aug 3,boxscore,MIN,,PIT,W-wo,5,4,,8-2,1,up 2.0,Rogers,Burdi,,3:13,N,,1.00,++++,
11,Tuesday Aug 4,boxscore,MIN,,PIT,W,7,3,,9-2,1,up 2.0,Berrios,Musgrove,May,3:30,D,,.91,+++++,
12,Wednesday Aug 5,boxscore,MIN,@,PIT,W,5,2,,10-2,1,up 3.0,Dobnak,Williams,,2:52,N,,.86,++++++,
13,Thursday Aug 6,boxscore,MIN,@,PIT,L-wo,5,6,,10-3,1,up 2.5,Howard,Rogers,,3:07,D,,.73,-,
14,Friday Aug 7,boxscore,MIN,@,KCR,L,2,3,,10-4,1,up 2.0,Holland,Wisler,Rosenthal,2:53,N,,.88,--,
15,Saturday Aug 8,boxscore,MIN,@,KCR,L,6,9,,10-5,1,up 1.5,Zuber,Thorpe,Rosenthal,3:55,N,,.98,---,
16,Sunday Aug 9,boxscore,MIN,@,KCR,L,2,4,,10-6,1,up 0.5,Singer,Berrios,Barlow,3:16,D,,1.10,----,
17,Monday Aug 10,boxscore,MIN,@,MIL,W,4,2,,11-6,1,up 0.5,Dobnak,Houser,Rogers,2:57,N,,1.08,+,
18,Tuesday Aug 11,boxscore,MIN,@,MIL,L,4,6,,11-7,1,up 0.5,Williams,Rogers,Hader,2:56,N,,1.04,-,
19,Wednesday Aug 12,boxscore,MIN,@,MIL,W,12,2,,12-7,1,up 1.5,Maeda,Lauer,,3:08,N,,1.10,+,
20,Saturday Aug 15 (1),boxscore,MIN,,KCR,W,4,2,7,13-7,1,up 1.0,Duffey,Speier,Rogers,2:30,D,,1.17,++,
21,Saturday Aug 15 (2),boxscore,MIN,,KCR,L,2,4,7,13-8,1,up 1.0,Duffy,Berrios,Rosenthal,2:42,D,,1.08,-,
22,Sunday Aug 16,boxscore,MIN,,KCR,W,4,2,,14-8,1,up 1.0,Dobnak,Singer,Romo,2:37,D,,1.14,+,
23,Monday Aug 17,boxscore,MIN,,KCR,W,4,1,,15-8,1,up 1.5,Smeltzer,Bubic,,3:06,N,,1.06,++,
24,Tuesday Aug 18,boxscore,MIN,,MIL,W-wo,4,3,12,16-8,1,up 1.5,Alcala,Phelps,,4:28,N,,.87,+++,
25,Wednesday Aug 19,boxscore,MIN,,MIL,L,3,9,,16-9,1,up 0.5,Anderson,Hill,,2:59,N,,.77,-,
26,Thursday Aug 20,boxscore,MIN,,MIL,W,7,1,,17-9,1,up 0.5,Berrios,Woodruff,,2:58,N,,.88,+,
27,Friday Aug 21,boxscore,MIN,@,KCR,L,2,7,,17-10,1,up 0.5,Duffy,Odorizzi,,3:14,N,,.86,-,
28,Saturday Aug 22,boxscore,MIN,@,KCR,W,7,2,,18-10,1,up 0.5,Dobnak,Singer,,3:23,N,,.95,+,
29,Sunday Aug 23,boxscore,MIN,@,KCR,W,5,4,,19-10,1,up 1.5,Clippard,Bubic,Rogers,3:35,D,,.88,++,
30,Monday Aug 24,boxscore,MIN,@,CLE,W,3,2,,20-10,1,up 2.5,Maeda,Civale,Rogers,3:14,N,,.78,+++,
31,Tuesday Aug 25,boxscore,MIN,@,CLE,L,2,4,,20-11,1,up 1.5,Bieber,Alcala,Hand,2:52,N,,.66,-,
32,Wednesday Aug 26,boxscore,MIN,@,CLE,L,3,6,,20-12,1,up 0.5,Maton,Romo,Hand,3:14,N,,.75,--,
33,Saturday Aug 29 (1),boxscore,MIN,@,DET,L,2,8,7,20-13,3,1.5,Boyd,Dobnak,,2:11,D,,.79,---,
34,Saturday Aug 29 (2),boxscore,MIN,@,DET,L,2,4,7,20-14,3,1.5,Skubal,Duffey,Soto,2:12,D,,.92,----,
35,Sunday Aug 30,boxscore,MIN,@,DET,L,2,3,,20-15,3,1.5,Alexander,Maeda,Soto,2:41,D,,1.10,-----,
36,Monday Aug 31,boxscore,MIN,,CHW,L,5,8,,20-16,3,2.5,Foster,Rogers,Colome,3:43,N,,1.22,------,
37,Tuesday Sep 1,boxscore,MIN,,CHW,W,3,2,,21-16,3,1.5,Thielbar,Cordero,Wisler,3:12,N,,1.31,+,
38,Wednesday Sep 2,boxscore,MIN,,CHW,W,8,1,,22-16,3,1.5,Berrios,Lopez,,3:23,N,,1.28,++,
39,Friday Sep 4 (1),boxscore,MIN,,DET,W,2,0,7,23-16,2,0.5,Dobnak,Boyd,Rogers,1:45,D,,1.16,+++,
40,Friday Sep 4 (2),boxscore,MIN,,DET,W,3,2,8,24-16,2,0.5,Romo,Jimenez,May,2:57,D,,1.01,++++,
41,Saturday Sep 5,boxscore,MIN,,DET,W-wo,4,3,,25-16,2,0.5,Alcala,Cisnero,,2:52,N,,.83,+++++,
42,Sunday Sep 6,boxscore,MIN,,DET,L,8,10,,25-17,3,1.5,Funkhouser,Romo,Garcia,3:43,D,,.69,-,
43,Monday Sep 7,boxscore,MIN,,DET,W,6,2,,26-17,3,1.0,Pineda,Fulmer,,2:44,D,,.85,+,
44,Tuesday Sep 8 (1),boxscore,MIN,@,STL,W,7,3,7,27-17,3,0.5,Berrios,Martinez,,2:31,D,,.59,++,
45,Tuesday Sep 8 (2),boxscore,MIN,@,STL,L,4,6,7,27-18,3,0.5,Cabrera,Dobnak,Gallegos,2:48,D,,.52,-,
46,Friday Sep 11,boxscore,MIN,,CLE,W,3,1,,28-18,2,1.0,Maeda,Bieber,Rogers,2:43,N,,.78,+,
47,Saturday Sep 12,boxscore,MIN,,CLE,W,8,4,,29-18,2,1.0,Hill,Plesac,,2:56,N,,.71,++,
