Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,NYM,,ATL,W,1,0,,1-0,1,Tied,Lugo,Martin,Diaz,2:25,D,,1.18,+,
2,Saturday Jul 25,boxscore,NYM,,ATL,L,3,5,10,1-1,1,Tied,Jackson,Strickland,,3:21,D,,1.18,-,
3,Sunday Jul 26,boxscore,NYM,,ATL,L,1,14,,1-2,3,1.0,Chacin,Porcello,,3:20,N,,1.18,--,
4,Monday Jul 27,boxscore,NYM,@,BOS,W,7,4,,2-2,2,0.5,Wacha,Osich,Lugo,3:11,N,,1.06,+,
5,Tuesday Jul 28,boxscore,NYM,@,BOS,W,8,3,,3-2,1,Tied,Peterson,Hall,,2:58,N,,1.08,++,
6,Wednesday Jul 29,boxscore,NYM,,BOS,L,5,6,,3-3,2,0.5,Hembree,Wilson,Workman,3:44,N,,1.08,-,
7,Thursday Jul 30,boxscore,NYM,,BOS,L,2,4,,3-4,3,1.0,Perez,Matz,Workman,3:49,N,,1.09,--,
8,Friday Jul 31,boxscore,NYM,@,ATL,L,10,11,,3-5,5,2.0,Dayton,Lugo,Martin,3:35,N,,1.23,---,
9,Saturday Aug 1,boxscore,NYM,@,ATL,L,1,7,,3-6,5,3.0,Tomlin,Wacha,,3:21,N,,1.17,----,
10,Sunday Aug 2,boxscore,NYM,@,ATL,L,0,4,,3-7,5,4.0,Matzek,Peterson,,3:06,D,,1.10,-----,
11,Monday Aug 3,boxscore,NYM,@,ATL,W,7,2,,4-7,5,3.0,deGrom,Soroka,,3:16,N,,1.03,+,
12,Tuesday Aug 4,boxscore,NYM,@,WSN,L,3,5,,4-8,5,4.0,Corbin,Matz,Hudson,3:13,N,,1.12,-,
13,Wednesday Aug 5,boxscore,NYM,@,WSN,W,3,1,,5-8,5,3.5,Porcello,Fedde,Lugo,2:46,N,,1.06,+,
14,Friday Aug 7,boxscore,NYM,,MIA,L,3,4,,5-9,5,5.0,Tarpley,Wacha,Vincent,3:34,N,,1.10,-,
