
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,OAK,,LAA,W-wo,7,3,10,1-0,1,Tied,Smith,Robles,,3:46,N,,1.17,+,
2,Saturday Jul 25,boxscore,OAK,,LAA,L,1,4,,1-1,2,1.0,Bundy,Manaea,Robles,2:27,D,,1.18,-,
3,Sunday Jul 26,boxscore,OAK,,LAA,W,6,4,,2-1,1,Tied,Petit,Ohtani,Hendriks,3:02,D,,1.20,+,
4,Monday Jul 27,boxscore,OAK,,LAA,W,3,0,,3-1,1,Tied,Smith,Canning,Soria,2:59,D,,1.21,++,
5,Tuesday Jul 28,boxscore,OAK,,COL,L,3,8,,3-2,1,Tied,Senzatela,Mengden,,2:58,N,,1.05,-,
6,Wednesday Jul 29,boxscore,OAK,,COL,L,1,5,,3-3,1,Tied,Marquez,Montas,,2:55,D,,1.09,--,
7,Friday Jul 31,boxscore,OAK,@,SEA,L,3,5,,3-4,3,1.0,Walker,Manaea,Williams,2:34,N,,1.26,---,
8,Saturday Aug 1,boxscore,OAK,@,SEA,W,3,2,10,4-4,1,Tied,Soria,Altavilla,Hendriks,3:11,N,,1.22,+,
9,Sunday Aug 2,boxscore,OAK,@,SEA,W,3,2,,5-4,1,Tied,Bassitt,Graveman,Hendriks,3:20,D,,1.26,++,
10,Monday Aug 3,boxscore,OAK,@,SEA,W,11,1,,6-4,1,up 0.5,Montas,Sheffield,,3:04,N,,1.28,+++,
11,Tuesday Aug 4,boxscore,OAK,,TEX,W-wo,5,1,,7-4,1,up 0.5,Hendriks,Volquez,,2:52,N,,1.25,++++,
12,Wednesday Aug 5,boxscore,OAK,,TEX,W,6,4,,8-4,1,up 1.5,McFarland,Gibaut,Soria,2:55,N,,1.22,+++++,
13,Thursday Aug 6,boxscore,OAK,,TEX,W,6,4,,9-4,1,up 2.5,Fiers,Minor,Hendriks,2:39,D,,1.13,++++++,
