Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,PHI,,MIA,L,2,5,,0-1,3,1.0,Alcantara,Nola,Kintzler,3:10,N,,1.16,-,
2,Saturday Jul 25,boxscore,PHI,,MIA,W,7,1,,1-1,1,Tied,Wheeler,Vesia,,2:54,D,,1.17,+,
3,Sunday Jul 26,boxscore,PHI,,MIA,L,6,11,,1-2,3,1.0,Tarpley,Irvin,,3:44,D,,1.20,-,
4,Monday Aug 3,boxscore,PHI,@,NYY,L,3,6,,1-3,4,2.5,Cole,Arrieta,Britton,3:00,N,,1.05,--,
5,Wednesday Aug 5 (1),boxscore,PHI,,NYY,W,11,7,7,2-3,4,3.0,Wheeler,Happ,Neris,2:44,D,,1.04,+,
6,Wednesday Aug 5 (2),boxscore,PHI,,NYY,L,1,3,7,2-4,4,3.0,Ottavino,Hunter,Britton,2:38,N,,1.06,-,
7,Thursday Aug 6,boxscore,PHI,,NYY,W,5,4,,3-4,3,3.0,Guerra,Montgomery,Neris,3:22,N,,1.02,+,
8,Saturday Aug 8,boxscore,PHI,,ATL,W,5,0,,4-4,3,2.5,Arrieta,Wright,,2:31,N,,1.19,++,
9,Sunday Aug 9 (1),boxscore,PHI,,ATL,L,2,5,7,4-5,3,3.5,Matzek,Guerra,Melancon,2:59,D,,1.24,-,
10,Sunday Aug 9 (2),boxscore,PHI,,ATL,L,0,8,7,4-6,3,3.5,Fried,Howard,,2:29,D,,1.26,--,
11,Monday Aug 10,boxscore,PHI,,ATL,W,13,8,,5-6,3,2.5,Nola,Newcomb,,2:54,N,,1.17,+,
12,Tuesday Aug 11,boxscore,PHI,,BAL,L,9,10,10,5-7,3,2.5,Sulser,Guerra,Lakins,4:00,N,,1.11,-,
13,Wednesday Aug 12,boxscore,PHI,,BAL,L,4,5,,5-8,3,3.5,Armstrong,Eflin,Sulser,3:28,N,,1.06,--,
14,Thursday Aug 13,boxscore,PHI,,BAL,L,4,11,,5-9,4,4.0,Eshelman,Arrieta,,3:29,D,,1.00,---,
15,Friday Aug 14,boxscore,PHI,,NYM,W-wo,6,5,,6-9,3,4.0,Neris,Lugo,,3:24,N,,1.06,+,
16,Saturday Aug 15,boxscore,PHI,,NYM,W,6,2,,7-9,3,3.0,Nola,Matz,,2:45,N,,1.14,++,
17,Sunday Aug 16,boxscore,PHI,,NYM,W,6,2,,8-9,3,2.0,Wheeler,Porcello,,2:57,D,,1.20,+++,
18,Tuesday Aug 18,boxscore,PHI,@,BOS,W,13,6,,9-9,3,1.5,Parker,Taylor,,4:06,N,,1.13,++++,
19,Wednesday Aug 19,boxscore,PHI,@,BOS,L,3,6,,9-10,3,2.0,Brice,Arrieta,Workman,3:36,D,,1.18,-,
20,Thursday Aug 20 (1),boxscore,PHI,@,TOR,L-wo,2,3,7,9-11,4,3.0,Romano,Guerra,,2:43,D,,1.17,--,
21,Thursday Aug 20 (2),boxscore,PHI,@,TOR,L,8,9,7,9-12,4,3.0,Kay,Neris,Cole,3:06,D,,1.12,---,
22,Friday Aug 21,boxscore,PHI,@,ATL,L,2,11,,9-13,4,4.0,Fried,Nola,,3:18,N,,1.24,----,
23,Saturday Aug 22,boxscore,PHI,@,ATL,L-wo,5,6,,9-14,5,5.0,Melancon,Workman,,3:18,N,,1.15,-----,
24,Sunday Aug 23,boxscore,PHI,@,ATL,W,5,4,,10-14,5,4.0,Eflin,Tomlin,Workman,3:17,N,,1.03,+,
25,Tuesday Aug 25,boxscore,PHI,@,WSN,W,8,3,,11-14,3,3.5,Arrieta,Fedde,,3:13,N,,1.16,++,
26,Wednesday Aug 26,boxscore,PHI,@,WSN,W,3,2,,12-14,3,4.0,Nola,Harris,Workman,3:19,N,,1.29,+++,
27,Friday Aug 28,boxscore,PHI,,ATL,W-wo,7,4,11,13-14,3,3.0,Parker,Melancon,,4:07,N,,1.33,++++,
28,Saturday Aug 29,boxscore,PHI,,ATL,W,4,1,,14-14,2,2.0,Eflin,Tomlin,Workman,2:33,D,,1.44,+++++,
29,Sunday Aug 30,boxscore,PHI,,ATL,L,10,12,,14-15,2,3.0,Minter,Arrieta,Melancon,4:13,N,,1.48,-,
30,Monday Aug 31,boxscore,PHI,,WSN,W,8,6,,15-15,2,3.0,Howard,Fedde,,2:48,N,,1.45,+,
31,Tuesday Sep 1,boxscore,PHI,,WSN,W,6,0,,16-15,2,3.0,Nola,Corbin,,3:14,N,,1.41,++,
32,Wednesday Sep 2,boxscore,PHI,,WSN,W,3,0,,17-15,2,3.0,Wheeler,Scherzer,Workman,2:50,N,,1.38,+++,
33,Thursday Sep 3,boxscore,PHI,,WSN,W-wo,6,5,10,18-15,2,2.5,Parker,Doolittle,,3:50,D,,1.31,++++,
34,Friday Sep 4,boxscore,PHI,@,NYM,W,5,3,,19-15,2,2.0,Arrieta,Hughes,Workman,3:11,N,,1.36,+++++,
35,Saturday Sep 5,boxscore,PHI,@,NYM,L,1,5,,19-16,2,2.0,Lugo,Howard,,3:08,N,,1.16,-,
36,Sunday Sep 6,boxscore,PHI,@,NYM,L,1,14,,19-17,2,3.0,deGrom,Nola,,3:18,D,,1.44,--,
37,Monday Sep 7,boxscore,PHI,@,NYM,W,9,8,10,20-17,2,2.0,Workman,Castro,Neris,3:40,D,,1.54,+,
38,Tuesday Sep 8 (1),boxscore,PHI,,BOS,W-wo,6,5,7,21-17,2,1.5,Neris,Barnes,,2:49,D,,1.29,++,
39,Tuesday Sep 8 (2),boxscore,PHI,,BOS,L,2,5,7,21-18,2,1.5,Mazza,Phelps,Walden,2:36,N,,1.18,-,
40,Thursday Sep 10,boxscore,PHI,@,MIA,L-wo,6,7,,21-19,2,3.0,Garcia,Workman,,3:26,N,,1.48,--,
41,Friday Sep 11 (1),boxscore,PHI,@,MIA,W,11,0,7,22-19,2,2.5,Nola,Rogers,,2:33,N,,1.55,+,
42,Friday Sep 11 (2),boxscore,PHI,@,MIA,L,3,5,7,22-20,2,2.5,Hoyt,Suarez,Garcia,2:41,N,,1.39,-,
43,Saturday Sep 12,boxscore,PHI,@,MIA,W,12,6,,23-20,2,2.5,Hembree,Urena,,3:43,N,,1.69,+,
44,Sunday Sep 13 (1),boxscore,PHI,@,MIA,L,1,2,7,23-21,3,4.0,Sanchez,Rosso,,2:01,D,,1.40,-,
45,Sunday Sep 13 (2),boxscore,PHI,@,MIA,L,1,8,7,23-22,3,4.0,Garrett,Eflin,,2:22,D,,1.56,--,
46,Monday Sep 14,boxscore,PHI,@,MIA,L,2,6,,23-23,3,4.0,Lopez,Velasquez,,2:47,D,,1.49,---,
47,Tuesday Sep 15,boxscore,PHI,,NYM,W,4,1,,24-23,3,4.0,Arrieta,Porcello,Neris,2:58,N,,1.86,+,
48,Wednesday Sep 16,boxscore,PHI,,NYM,L,4,5,,24-24,3,4.0,Castro,Neris,Diaz,3:17,N,,1.61,-,
49,Thursday Sep 17,boxscore,PHI,,NYM,L,6,10,,24-25,3,4.5,Wilson,Workman,,4:12,N,,2.04,--,
50,Friday Sep 18 (1),boxscore,PHI,,TOR,W,7,0,7,25-25,3,4.0,Eflin,Ray,,2:33,D,,1.93,+,
51,Friday Sep 18 (2),boxscore,PHI,,TOR,W,8,7,7,26-25,3,4.0,Brogdon,Dolis,Neris,3:14,N,,1.89,++,
52,Saturday Sep 19,boxscore,PHI,,TOR,W,3,1,,27-25,3,3.0,Velasquez,Ryu,Hunter,3:16,N,,1.82,+++,
53,Sunday Sep 20,boxscore,PHI,,TOR,L,3,6,,27-26,3,4.0,Walker,Medina,Bass,3:28,D,,1.73,-,
54,Monday Sep 21,boxscore,PHI,@,WSN,L,1,5,,27-27,3,5.0,Sanchez,Wheeler,,3:48,N,,2.27,--,
55,Tuesday Sep 22 (1),boxscore,PHI,@,WSN,L,1,5,7,27-28,3,6.5,Voth,Nola,,2:09,D,,2.48,---,
56,Tuesday Sep 22 (2),boxscore,PHI,@,WSN,L-wo,7,8,8,27-29,3,6.5,Hudson,Workman,,3:25,D,,2.71,----,
