Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,PIT,@,STL,L,4,5,,0-1,4,1.0,Flaherty,Musgrove,Kim,2:52,N,,1.18,-,
2,Saturday Jul 25,boxscore,PIT,@,STL,L,1,9,,0-2,5,2.0,Wainwright,Williams,,2:55,D,,1.17,--,
3,Sunday Jul 26,boxscore,PIT,@,STL,W,5,1,,1-2,3,1.0,Keller,Hudson,,2:56,D,,1.16,+,
4,Monday Jul 27,boxscore,PIT,,MIL,L,5,6,11,1-3,4,2.0,Phelps,Neverauskas,,3:54,N,,1.21,-,
5,Tuesday Jul 28,boxscore,PIT,,MIL,W,8,6,,2-3,3,2.0,Hartlieb,Wahl,Burdi,3:22,N,,1.17,+,
6,Wednesday Jul 29,boxscore,PIT,,MIL,L,0,3,,2-4,4,2.0,Woodruff,Musgrove,Hader,3:02,N,,1.20,-,
7,Friday Jul 31,boxscore,PIT,@,CHC,L,3,6,,2-5,4,3.0,Darvish,Williams,,3:46,N,,1.21,--,
8,Saturday Aug 1,boxscore,PIT,@,CHC,L,3,4,,2-6,5,4.0,Chatwood,Keller,Wick,3:11,N,,1.16,---,
9,Sunday Aug 2,boxscore,PIT,@,CHC,L-wo,1,2,11,2-7,5,5.0,Jeffress,Ponce,,3:37,D,,1.10,----,
10,Monday Aug 3,boxscore,PIT,@,MIN,L-wo,4,5,,2-8,5,6.0,Rogers,Burdi,,3:13,N,,.92,-----,
11,Tuesday Aug 4,boxscore,PIT,@,MIN,L,3,7,,2-9,5,7.0,Berrios,Musgrove,May,3:30,D,,.85,------,
12,Wednesday Aug 5,boxscore,PIT,,MIN,L,2,5,,2-10,5,8.0,Dobnak,Williams,,2:52,N,,.75,-------,
13,Thursday Aug 6,boxscore,PIT,,MIN,W-wo,6,5,,3-10,5,7.0,Howard,Rogers,,3:07,D,,.65,+,
14,Friday Aug 7,boxscore,PIT,,DET,L,13,17,11,3-11,5,7.5,Garcia,Neverauskas,,4:33,N,,.71,-,
15,Saturday Aug 8,boxscore,PIT,,DET,L,5,11,,3-12,5,8.0,Nova,Holland,,3:22,D,,.63,--,
16,Sunday Aug 9,boxscore,PIT,,DET,L,1,2,,3-13,5,8.5,Turnbull,Rodriguez,Jimenez,2:45,D,,.53,---,
17,Thursday Aug 13,boxscore,PIT,@,CIN,W,9,6,,4-13,5,9.5,Williams,DeSclafani,,3:21,N,,.55,+,
18,Friday Aug 14,boxscore,PIT,@,CIN,L,1,8,,4-14,5,9.5,Gray,Kuhl,,2:50,N,,.66,-,
19,Tuesday Aug 18,boxscore,PIT,,CLE,L,3,6,10,4-15,5,9.5,Wittgren,Howard,Hand,4:02,N,,.45,--,
20,Wednesday Aug 19,boxscore,PIT,,CLE,L,1,6,,4-16,5,10.0,Civale,Neverauskas,,2:56,N,,.34,---,
21,Thursday Aug 20,boxscore,PIT,,CLE,L,0,2,,4-17,5,10.5,Bieber,Williams,Hand,3:24,N,,.27,----,
22,Friday Aug 21,boxscore,PIT,,MIL,W,7,2,,5-17,5,9.5,Kuhl,Houser,,2:53,N,,.24,+,
23,Saturday Aug 22,boxscore,PIT,,MIL,W,12,5,,6-17,5,8.5,Holland,Lindblom,,3:30,D,,.32,++,
24,Sunday Aug 23,boxscore,PIT,,MIL,W,5,4,,7-17,5,8.5,Stratton,Phelps,Rodriguez,3:11,D,,.40,+++,
25,Tuesday Aug 25,boxscore,PIT,@,CHW,L,0,4,,7-18,5,9.0,Giolito,Brault,,2:23,N,,.40,-,
26,Wednesday Aug 26,boxscore,PIT,@,CHW,L,3,10,,7-19,5,9.0,Keuchel,Williams,,2:41,D,,.34,--,
27,Thursday Aug 27 (1),boxscore,PIT,@,STL,W,4,3,8,8-19,5,8.0,Stratton,Gant,Rodriguez,2:48,D,,.31,+,
28,Thursday Aug 27 (2),boxscore,PIT,@,STL,W,2,0,7,9-19,5,8.0,Ponce,Oviedo,Turley,2:02,D,,.30,++,
29,Friday Aug 28,boxscore,PIT,@,MIL,L,1,9,,9-20,5,8.0,Burnes,Holland,,2:55,N,,.54,-,
30,Saturday Aug 29,boxscore,PIT,@,MIL,L-wo,6,7,,9-21,5,8.5,Williams,Rodriguez,,3:19,N,,.43,--,
31,Sunday Aug 30,boxscore,PIT,@,MIL,W,5,1,,10-21,5,8.5,Tropeano,Woodruff,,3:13,D,,.34,+,
32,Monday Aug 31,boxscore,PIT,@,MIL,L,5,6,,10-22,5,9.0,Williams,Turley,Hader,3:25,N,,.47,-,
33,Tuesday Sep 1,boxscore,PIT,,CHC,L,7,8,11,10-23,5,10.0,Jeffress,Crick,,4:10,N,,.30,--,
34,Wednesday Sep 2,boxscore,PIT,,CHC,L,2,8,,10-24,5,11.0,Hendricks,Musgrove,,3:15,N,,.20,---,
35,Thursday Sep 3,boxscore,PIT,,CHC,W,6,2,,11-24,5,10.0,Brubaker,Mills,,3:16,D,,.12,+,
36,Friday Sep 4 (1),boxscore,PIT,,CIN,L,2,4,7,11-25,5,10.5,Castillo,Brault,Iglesias,2:31,D,,.17,-,
37,Friday Sep 4 (2),boxscore,PIT,,CIN,W,4,3,7,12-25,5,10.5,Howard,Bauer,Rodriguez,2:25,N,,.10,+,
38,Saturday Sep 5,boxscore,PIT,,CIN,L,2,6,,12-26,5,10.0,Garrett,Williams,,3:23,N,,.15,-,
39,Sunday Sep 6,boxscore,PIT,,CIN,W-wo,3,2,,13-26,5,9.0,Rodriguez,Iglesias,,3:02,D,,.07,+,
40,Tuesday Sep 8,boxscore,PIT,,CHW,W-wo,5,4,,14-26,5,9.5,Rodriguez,Detwiler,,3:19,N,,.09,++,
41,Wednesday Sep 9,boxscore,PIT,,CHW,L,1,8,,14-27,5,9.5,Dunning,Brubaker,,3:08,N,,.14,-,
42,Friday Sep 11,boxscore,PIT,@,KCR,L,3,4,,14-28,5,10.0,Bubic,Brault,Holland,3:10,N,,.07,--,
43,Saturday Sep 12,boxscore,PIT,@,KCR,L,4,7,,14-29,5,11.0,Zimmer,Williams,Holland,3:06,N,,.03,---,
44,Sunday Sep 13,boxscore,PIT,@,KCR,L,0,11,,14-30,5,12.0,Keller,Kuhl,,3:02,D,,.02,----,
