Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,SDP,,ARI,W,7,2,,1-0,2,0.5,Paddack,Bumgarner,,3:05,N,,1.18,+,
2,Saturday Jul 25,boxscore,SDP,,ARI,W,5,1,,2-0,1,up 0.5,Lamet,Ray,,3:18,N,,1.20,++,
3,Sunday Jul 26,boxscore,SDP,,ARI,L,3,4,,2-1,1,Tied,Bradley,Yates,,3:44,D,,1.19,-,
4,Monday Jul 27,boxscore,SDP,,ARI,W,6,2,,3-1,1,up 0.5,Quantrill,Weaver,,3:03,D,,1.21,+,
5,Tuesday Jul 28,boxscore,SDP,@,SFG,W,5,3,,4-1,1,up 0.5,Davies,Samardzija,Pomeranz,2:54,N,,1.19,++,
6,Wednesday Jul 29,boxscore,SDP,@,SFG,L-wo,6,7,,4-2,2,0.5,Rogers,Strahm,,3:02,N,,1.18,-,
7,Thursday Jul 30,boxscore,SDP,@,SFG,W,12,7,10,5-2,1,Tied,Johnson,Rogers,,4:04,N,,1.23,+,
8,Friday Jul 31,boxscore,SDP,@,COL,W,8,7,,6-2,1,up 1.0,Stammen,Davis,Pomeranz,3:37,N,,1.21,++,
9,Saturday Aug 1,boxscore,SDP,@,COL,L,1,6,,6-3,1,Tied,Freeland,Lucchesi,,2:50,N,,1.13,-,
10,Sunday Aug 2,boxscore,SDP,@,COL,L,6,9,,6-4,3,1.0,Senzatela,Davies,Diaz,2:52,D,,1.21,--,
11,Monday Aug 3,boxscore,SDP,,LAD,W,5,4,,7-4,2,1.0,Paddack,Graterol,Yates,2:44,N,,1.27,+,
12,Tuesday Aug 4,boxscore,SDP,,LAD,L,2,5,,7-5,3,2.0,May,Stammen,Jansen,3:04,N,,1.24,-,
13,Wednesday Aug 5,boxscore,SDP,,LAD,L,6,7,,7-6,3,2.0,Stripling,Richards,Jansen,3:11,N,,1.25,--,
14,Friday Aug 7,boxscore,SDP,,ARI,W,3,0,,8-6,3,2.5,Davies,Weaver,Yates,2:27,N,,1.28,+,
15,Saturday Aug 8,boxscore,SDP,,ARI,L,2,3,,8-7,3,3.5,Kelly,Paddack,Bradley,2:51,N,,1.27,-,
16,Sunday Aug 9,boxscore,SDP,,ARI,W,9,5,,9-7,3,2.5,Lamet,Bumgarner,,2:59,D,,1.31,+,
17,Monday Aug 10,boxscore,SDP,@,LAD,W,2,1,,10-7,3,1.5,Quantrill,May,Pomeranz,2:56,N,,1.31,++,
18,Tuesday Aug 11,boxscore,SDP,@,LAD,W,6,2,,11-7,2,1.5,Richards,Stripling,Pomeranz,3:02,N,,1.30,+++,
19,Wednesday Aug 12,boxscore,SDP,@,LAD,L,0,6,,11-8,3,1.5,Treinen,Davies,,2:52,N,,1.26,-,
20,Thursday Aug 13,boxscore,SDP,@,LAD,L,2,11,,11-9,3,2.0,Urias,Paddack,,2:45,N,,1.29,--,
21,Friday Aug 14,boxscore,SDP,@,ARI,L,1,5,,11-10,3,3.0,Kelly,Lamet,,3:03,N,,1.35,---,
22,Saturday Aug 15,boxscore,SDP,@,ARI,L,6,7,,11-11,3,4.0,Crichton,Johnson,Bradley,3:23,N,,1.40,----,
23,Sunday Aug 16,boxscore,SDP,@,ARI,L,4,5,,11-12,4,5.0,Clarke,Pagan,Bradley,3:13,D,,1.43,-----,
24,Monday Aug 17,boxscore,SDP,@,TEX,W,14,4,,12-12,4,5.0,Davies,Lyles,,3:07,N,,1.26,+,
25,Tuesday Aug 18,boxscore,SDP,@,TEX,W,6,4,,13-12,4,5.0,Stammen,Minor,Quantrill,3:36,D,,1.30,++,
26,Wednesday Aug 19,boxscore,SDP,,TEX,W-wo,6,3,10,14-12,2,4.0,Hill,Montero,,3:23,N,,1.31,+++,
27,Thursday Aug 20,boxscore,SDP,,TEX,W-wo,8,7,10,15-12,2,4.0,Johnson,Garcia,,3:59,N,,1.31,++++,
28,Friday Aug 21,boxscore,SDP,,HOU,W,4,3,,16-12,2,4.0,Guerra,McCullers,Pagan,3:41,N,,1.25,+++++,
29,Saturday Aug 22,boxscore,SDP,,HOU,W,13,2,,17-12,2,4.0,Davies,Bielak,,2:41,N,,1.11,++++++,
30,Sunday Aug 23,boxscore,SDP,,HOU,W,5,3,,18-12,2,4.0,Stammen,Paredes,Pagan,3:04,D,,1.02,+++++++,
31,Tuesday Aug 25,boxscore,SDP,,SEA,L,3,8,,18-13,2,4.0,Gonzales,Paddack,,3:08,N,,.90,-,
32,Thursday Aug 27 (1),boxscore,SDP,,SEA,W-wo,10,7,7,19-13,2,5.0,Johnson,Williams,,2:49,D,,1.04,+,
33,Thursday Aug 27 (2),boxscore,SDP,,SEA,L,3,8,7,19-14,2,5.0,Kikuchi,Richards,,2:39,D,,.94,-,
34,Friday Aug 28,boxscore,SDP,@,COL,W,10,4,,20-14,2,4.0,Davies,Hoffman,,3:29,N,,1.15,+,
35,Saturday Aug 29,boxscore,SDP,@,COL,L-wo,3,4,,20-15,2,5.0,Bard,Stammen,,3:08,N,,1.02,-,
36,Sunday Aug 30,boxscore,SDP,@,COL,W,13,2,,21-15,2,5.0,Paddack,Castellani,,3:07,D,,1.15,+,
37,Monday Aug 31,boxscore,SDP,@,COL,W,6,0,,22-15,2,4.5,Morejón,Marquez,,2:49,N,,.92,++,
38,Wednesday Sep 2,boxscore,SDP,@,LAA,W,11,4,,23-15,2,5.0,Hill,Buttrey,,3:13,N,,.67,+++,
39,Thursday Sep 3,boxscore,SDP,@,LAA,L,0,2,,23-16,2,6.0,Heaney,Clevinger,Pena,2:40,D,,.55,-,
40,Friday Sep 4,boxscore,SDP,@,OAK,W,7,0,,24-16,2,6.0,Davies,Luzardo,,2:41,N,,.60,+,
41,Saturday Sep 5,boxscore,SDP,@,OAK,L,4,8,,24-17,2,6.0,Manaea,Paddack,,3:00,D,,.48,-,
42,Sunday Sep 6,boxscore,SDP,@,OAK,W,5,3,,25-17,2,5.0,Richards,Fiers,Rosenthal,3:04,D,,.62,+,
43,Monday Sep 7,boxscore,SDP,,COL,W-wo,1,0,,26-17,2,4.5,Pomeranz,Estevez,,3:02,N,,.64,++,
44,Tuesday Sep 8,boxscore,SDP,,COL,W,14,5,,27-17,2,4.5,Clevinger,Gonzalez,,3:16,N,,.48,+++,
45,Wednesday Sep 9,boxscore,SDP,,COL,W,5,3,,28-17,2,4.5,Davies,Senzatela,Rosenthal,2:54,N,,.36,++++,
46,Thursday Sep 10,boxscore,SDP,,SFG,W,6,1,,29-17,2,3.5,Morejón,Cahill,,2:48,N,,.35,+++++,
