Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,SEA,@,HOU,L,2,8,,0-1,4,1.0,Verlander,Gonzales,,2:49,N,,1.18,-,
2,Saturday Jul 25,boxscore,SEA,@,HOU,L,2,7,,0-2,5,2.0,McCullers,Walker,,2:53,D,,1.18,--,
3,Sunday Jul 26,boxscore,SEA,@,HOU,W,7,6,,1-2,3,1.0,Altavilla,Devenski,Williams,3:41,D,,1.16,+,
4,Monday Jul 27,boxscore,SEA,@,HOU,L,5,8,,1-3,4,2.0,Bielak,Graveman,Osuna,3:04,N,,1.19,-,
5,Tuesday Jul 28,boxscore,SEA,@,LAA,L,2,10,,1-4,5,2.0,Buchter,Sheffield,,3:15,N,,1.16,--,
6,Wednesday Jul 29,boxscore,SEA,@,LAA,W,10,7,,2-4,4,1.0,Shaw,Barnes,Altavilla,3:47,N,,1.13,+,
7,Thursday Jul 30,boxscore,SEA,@,LAA,W,8,5,,3-4,3,0.5,Gonzales,Bundy,,2:59,N,,1.22,++,
8,Friday Jul 31,boxscore,SEA,,OAK,W,5,3,,4-4,2,0.5,Walker,Manaea,Williams,2:34,N,,1.25,+++,
9,Saturday Aug 1,boxscore,SEA,,OAK,L,2,3,10,4-5,3,0.5,Soria,Altavilla,Hendriks,3:11,N,,1.28,-,
10,Sunday Aug 2,boxscore,SEA,,OAK,L,2,3,,4-6,3,1.5,Bassitt,Graveman,Hendriks,3:20,D,,1.29,--,
11,Monday Aug 3,boxscore,SEA,,OAK,L,1,11,,4-7,4,2.5,Montas,Sheffield,,3:04,N,,1.24,---,
12,Tuesday Aug 4,boxscore,SEA,,LAA,L,3,5,,4-8,5,3.5,Heaney,Dunn,Buttrey,2:55,N,,1.20,----,
13,Wednesday Aug 5,boxscore,SEA,,LAA,W,7,6,,5-8,3,3.5,Gonzales,Teheran,Edwards,3:09,N,,1.12,+,
14,Thursday Aug 6,boxscore,SEA,,LAA,L,1,6,,5-9,4,4.5,Bundy,Walker,,2:23,D,,1.19,-,
15,Friday Aug 7,boxscore,SEA,,COL,L,4,8,,5-10,5,5.5,Senzatela,Kikuchi,,3:13,N,,1.03,--,
16,Saturday Aug 8,boxscore,SEA,,COL,L,0,5,,5-11,5,6.5,Hoffman,Misiewicz,,2:49,N,,.94,---,
17,Sunday Aug 9,boxscore,SEA,,COL,W,5,3,,6-11,4,6.5,Sheffield,Marquez,Williams,2:45,D,,.82,+,
18,Monday Aug 10,boxscore,SEA,@,TEX,W,10,2,,7-11,4,5.5,Dunn,Gibson,,3:18,N,,1.08,++,
19,Tuesday Aug 11,boxscore,SEA,@,TEX,L,2,4,,7-12,5,5.5,Volquez,Gonzales,Montero,2:56,N,,1.13,-,
20,Wednesday Aug 12,boxscore,SEA,@,TEX,L,4,7,,7-13,5,6.5,Hernandez,Swanson,Montero,3:09,N,,1.12,--,
21,Friday Aug 14,boxscore,SEA,@,HOU,L,1,11,,7-14,5,7.5,Valdez,Cortes,,3:10,N,,.95,---,
22,Saturday Aug 15,boxscore,SEA,@,HOU,L,1,2,,7-15,5,8.5,Javier,Margevicius,Pressly,2:30,N,,.80,----,
23,Sunday Aug 16,boxscore,SEA,@,HOU,L-wo,2,3,,7-16,5,9.5,Pressly,Swanson,,2:56,D,,.67,-----,
24,Monday Aug 17,boxscore,SEA,@,LAD,L,9,11,,7-17,5,9.5,Ferguson,Magill,Jansen,3:32,N,,.48,------,
25,Tuesday Aug 18,boxscore,SEA,@,LAD,L,1,2,,7-18,5,9.5,Treinen,Altavilla,,2:38,D,,.41,-------,
26,Wednesday Aug 19,boxscore,SEA,,LAD,W,6,4,,8-18,5,9.5,Walker,Santana,Williams,3:15,N,,.29,+,
27,Thursday Aug 20,boxscore,SEA,,LAD,L,1,6,,8-19,5,10.5,Kershaw,Kikuchi,,2:42,D,,.37,-,
28,Friday Aug 21,boxscore,SEA,,TEX,W,7,4,,9-19,4,10.5,Margevicius,Allard,Williams,2:41,N,,.27,+,
29,Saturday Aug 22,boxscore,SEA,,TEX,W,10,1,,10-19,4,9.5,Sheffield,Lyles,,2:51,N,,.37,++,
30,Sunday Aug 23,boxscore,SEA,,TEX,W,4,1,,11-19,4,9.5,Dunn,Minor,Williams,2:14,D,,.47,+++,
31,Tuesday Aug 25,boxscore,SEA,@,SDP,W,8,3,,12-19,3,9.0,Gonzales,Paddack,,3:08,N,,.53,++++,
32,Thursday Aug 27 (1),boxscore,SEA,@,SDP,L-wo,7,10,7,12-20,3,9.5,Johnson,Williams,,2:49,D,,.65,-,
33,Thursday Aug 27 (2),boxscore,SEA,@,SDP,W,8,3,7,13-20,3,9.5,Kikuchi,Richards,,2:39,D,,.53,+,
34,Friday Aug 28,boxscore,SEA,@,LAA,L,2,3,,13-21,4,10.0,Heaney,Margevicius,Buttrey,2:50,N,,.69,-,
35,Saturday Aug 29,boxscore,SEA,@,LAA,L,3,16,,13-22,4,9.5,Bundy,Sheffield,,3:26,N,,.57,--,
36,Sunday Aug 30,boxscore,SEA,@,LAA,W,2,1,10,14-22,3,9.0,Williams,Quijada,Ramirez,3:27,D,,.38,+,
37,Monday Aug 31,boxscore,SEA,@,LAA,W,2,1,,15-22,3,8.5,Gonzales,Andriese,,2:30,D,,.44,++,
38,Friday Sep 4,boxscore,SEA,,TEX,W,6,3,,16-22,3,7.5,Kikuchi,Cody,,2:56,N,,.55,+++,
39,Saturday Sep 5,boxscore,SEA,,TEX,W,5,3,,17-22,3,7.5,Gerber,Hernandez,Ramirez,3:04,N,,.70,++++,
40,Sunday Sep 6,boxscore,SEA,,TEX,W,4,3,,18-22,3,6.5,Dunn,Lyles,Hirano,2:45,D,,.97,+++++,
41,Monday Sep 7,boxscore,SEA,,TEX,W,8,4,,19-22,3,6.5,Gonzales,Allard,Ramirez,3:00,D,,1.11,++++++,
42,Tuesday Sep 8,boxscore,SEA,@,SFG,L,5,6,,19-23,3,7.0,Rogers,Misiewicz,Watson,3:04,N,,1.29,-,
43,Wednesday Sep 9,boxscore,SEA,@,SFG,L,1,10,,19-24,3,8.0,Anderson,Margevicius,,3:05,N,,1.16,--,
44,Friday Sep 11,boxscore,SEA,@,ARI,L,3,4,,19-25,3,9.5,Young,Kikuchi,Crichton,2:32,N,,1.18,---,
45,Saturday Sep 12,boxscore,SEA,@,ARI,W,7,3,,20-25,3,9.0,Sheffield,Gallen,,2:45,N,,1.02,+,
46,Sunday Sep 13,boxscore,SEA,@,ARI,W,7,3,,21-25,3,8.0,Sadler,Weaver,,3:32,D,,1.11,++,
47,Monday Sep 14 (1),boxscore,SEA,,OAK,W,6,5,7,22-25,3,8.0,Gonzales,Soria,Hirano,2:18,D,,1.30,+++,
48,Monday Sep 14 (2),boxscore,SEA,,OAK,L,0,9,7,22-26,3,8.0,Minor,Yacabonis,,2:24,D,,1.33,-,
49,Wednesday Sep 16,boxscore,SEA,@,SFG,L,3,9,,22-27,3,8.5,Cahill,Newsome,,3:29,N,,1.13,--,
50,Thursday Sep 17,boxscore,SEA,@,SFG,L,4,6,,22-28,3,9.0,Garcia,Graveman,Selman,3:34,D,,1.35,---,
