Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Jul 23,boxscore,SFG,@,LAD,L,1,8,,0-1,5,1.0,Kolarek,Rogers,,2:56,N,,1.17,-,
2,Friday Jul 24,boxscore,SFG,@,LAD,L,1,9,,0-2,5,2.0,Stripling,Anderson,,2:55,N,,1.17,--,
3,Saturday Jul 25,boxscore,SFG,@,LAD,W,5,4,,1-2,4,1.5,Baragar,Wood,Gott,3:16,D,,1.14,+,
4,Sunday Jul 26,boxscore,SFG,@,LAD,W,3,1,,2-2,3,0.5,Peralta,Graterol,Gott,3:28,N,,1.22,++,
5,Tuesday Jul 28,boxscore,SFG,,SDP,L,3,5,,2-3,4,2.0,Davies,Samardzija,Pomeranz,2:54,N,,1.22,-,
6,Wednesday Jul 29,boxscore,SFG,,SDP,W-wo,7,6,,3-3,4,1.5,Rogers,Strahm,,3:02,N,,1.19,+,
7,Thursday Jul 30,boxscore,SFG,,SDP,L,7,12,10,3-4,4,2.0,Johnson,Rogers,,4:04,N,,1.21,-,
8,Friday Jul 31,boxscore,SFG,,TEX,W,9,2,,4-4,4,2.0,Menez,Minor,,3:04,N,,1.10,+,
9,Saturday Aug 1,boxscore,SFG,,TEX,W,7,3,,5-4,4,1.0,Baragar,Lyles,,3:29,N,,1.12,++,
10,Sunday Aug 2,boxscore,SFG,,TEX,L,5,9,,5-5,4,2.0,Hernandez,Triggs,,3:04,D,,1.16,-,
11,Monday Aug 3,boxscore,SFG,@,COL,L,6,7,,5-6,4,3.0,Hoffman,Peralta,Diaz,2:48,N,,1.23,--,
12,Tuesday Aug 4,boxscore,SFG,@,COL,L,2,5,,5-7,4,4.0,Marquez,Gausman,Almonte,2:36,N,,1.21,---,
13,Wednesday Aug 5,boxscore,SFG,@,COL,W,4,3,,6-7,4,3.0,Webb,Gray,Gott,2:48,N,,1.18,+,
14,Thursday Aug 6,boxscore,SFG,@,COL,L,4,6,,6-8,4,4.0,Almonte,Garcia,Diaz,3:06,D,,1.25,-,
15,Friday Aug 7,boxscore,SFG,@,LAD,L,2,7,,6-9,4,5.0,Floro,Samardzija,,3:16,N,,1.20,--,
16,Saturday Aug 8,boxscore,SFG,@,LAD,W,5,4,,7-9,4,5.0,Cueto,Kershaw,Gott,2:54,N,,1.14,+,
17,Sunday Aug 9,boxscore,SFG,@,LAD,L,2,6,,7-10,4,5.0,McGee,Rogers,,2:41,D,,1.22,-,
18,Monday Aug 10,boxscore,SFG,@,HOU,L,4,6,,7-11,5,5.0,McCullers,Webb,Pressly,3:07,N,,1.06,--,
19,Tuesday Aug 11,boxscore,SFG,@,HOU,W,7,6,10,8-11,4,5.0,Gott,Sneed,Rogers,3:52,N,,1.01,+,
20,Wednesday Aug 12,boxscore,SFG,@,HOU,L,1,5,,8-12,5,5.0,Greinke,Baragar,,3:25,N,,1.10,-,
21,Friday Aug 14,boxscore,SFG,,OAK,L,7,8,10,8-13,5,6.0,Soria,Garcia,Hendriks,3:23,N,,1.05,--,
22,Saturday Aug 15,boxscore,SFG,,OAK,L,6,7,,8-14,5,7.0,McFarland,Gott,Hendriks,3:38,D,,.95,---,
