Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,STL,,PIT,W,5,4,,1-0,1,Tied,Flaherty,Musgrove,Kim,2:52,N,,1.15,+,
2,Saturday Jul 25,boxscore,STL,,PIT,W,9,1,,2-0,1,up 1.0,Wainwright,Williams,,2:55,D,,1.20,++,
3,Sunday Jul 26,boxscore,STL,,PIT,L,1,5,,2-1,1,Tied,Keller,Hudson,,2:56,D,,1.20,-,
4,Tuesday Jul 28,boxscore,STL,@,MIN,L,3,6,,2-2,2,1.5,Bailey,Martinez,Romo,2:42,N,,1.08,--,
5,Wednesday Jul 29,boxscore,STL,@,MIN,L,0,3,,2-3,3,1.5,Hill,Ponce de Leon,Rogers,2:53,N,,1.08,---,
6,Saturday Aug 15 (1),boxscore,STL,@,CHW,W,5,1,7,3-3,2,3.5,Wainwright,Giolito,,2:19,D,,1.15,+,
7,Saturday Aug 15 (2),boxscore,STL,@,CHW,W,6,3,7,4-3,2,3.5,Cabrera,Marshall,Miller,2:30,D,,1.17,++,
8,Sunday Aug 16,boxscore,STL,@,CHW,L,2,7,,4-4,2,3.5,Keuchel,Hudson,,2:52,D,,1.16,-,
9,Monday Aug 17 (1),boxscore,STL,@,CHC,W,3,1,7,5-4,2,3.5,Gallegos,Hendricks,Miller,2:03,D,,1.27,+,
10,Monday Aug 17 (2),boxscore,STL,@,CHC,L,4,5,7,5-5,2,3.5,Underwood,Webb,Jeffress,2:33,N,,1.31,-,
11,Tuesday Aug 18,boxscore,STL,@,CHC,L,3,6,,5-6,2,4.5,Darvish,Ponce de Leon,Wick,4:09,N,,1.32,--,
12,Wednesday Aug 19 (1),boxscore,STL,@,CHC,W,9,3,7,6-6,3,4.5,Webb,Mills,,3:01,D,,1.28,+,
13,Wednesday Aug 19 (2),boxscore,STL,@,CHC,L,2,4,7,6-7,3,4.5,Jeffress,Miller,Kimbrel,2:26,D,,1.35,-,
14,Thursday Aug 20,boxscore,STL,,CIN,W-wo,5,4,,7-7,2,4.0,Elledge,Iglesias,,3:12,N,,1.34,+,
15,Friday Aug 21,boxscore,STL,,CIN,L,2,4,,7-8,2,4.0,Lorenzen,Cabrera,Iglesias,3:10,N,,1.39,-,
16,Saturday Aug 22,boxscore,STL,,CIN,W,3,0,,8-8,2,3.0,Kim,Miley,Gallegos,2:15,N,,1.38,+,
17,Sunday Aug 23,boxscore,STL,,CIN,W,6,2,,9-8,2,3.0,Cabrera,Mahle,,3:03,D,,1.44,++,
18,Monday Aug 24,boxscore,STL,,KCR,W,9,3,,10-8,2,3.0,Flaherty,Keller,,3:10,N,,1.25,+++,
19,Tuesday Aug 25,boxscore,STL,,KCR,L,4,5,,10-9,2,3.0,Staumont,Gant,Rosenthal,3:07,N,,1.26,-,
20,Wednesday Aug 26,boxscore,STL,,KCR,W-wo,6,5,,11-9,2,2.0,Reyes,Rosario,,3:37,N,,1.30,+,
21,Thursday Aug 27 (1),boxscore,STL,,PIT,L,3,4,8,11-10,2,3.0,Stratton,Gant,Rodriguez,2:48,D,,1.32,-,
22,Thursday Aug 27 (2),boxscore,STL,,PIT,L,0,2,7,11-11,2,3.0,Ponce,Oviedo,Turley,2:02,D,,1.31,--,
23,Friday Aug 28,boxscore,STL,,CLE,L,2,14,,11-12,2,3.0,Hill,Ponce de Leon,Plutko,3:51,N,,1.32,---,
24,Saturday Aug 29,boxscore,STL,,CLE,L,1,2,12,11-13,2,3.5,Wittgren,Reyes,Hand,4:06,D,,1.31,----,
25,Sunday Aug 30,boxscore,STL,,CLE,W,7,2,,12-13,2,3.5,Wainwright,Civale,,2:24,D,,1.28,+,
26,Monday Aug 31,boxscore,STL,@,CIN,W,7,5,,13-13,2,3.0,Hudson,DeSclafani,Gallegos,3:09,N,,1.52,++,
27,Tuesday Sep 1,boxscore,STL,@,CIN,W,16,2,,14-13,2,3.0,Kim,Gray,,3:27,N,,1.52,+++,
28,Wednesday Sep 2,boxscore,STL,@,CIN,L-wo,3,4,,14-14,2,4.0,Iglesias,Gallegos,,2:55,N,,1.48,-,
29,Friday Sep 4,boxscore,STL,@,CHC,L,1,4,,14-15,2,4.5,Darvish,Flaherty,Jeffress,3:05,N,,1.50,--,
30,Saturday Sep 5 (1),boxscore,STL,@,CHC,W,4,2,7,15-15,2,2.5,Wainwright,Alzolay,Gallegos,2:40,D,,1.46,+,
31,Saturday Sep 5 (2),boxscore,STL,@,CHC,W,5,1,7,16-15,2,2.5,Helsley,Rea,,2:16,N,,1.55,++,
32,Sunday Sep 6,boxscore,STL,@,CHC,W,7,3,,17-15,2,1.5,Hudson,Lester,,3:17,N,,1.59,+++,
33,Monday Sep 7,boxscore,STL,@,CHC,L,1,5,,17-16,2,2.5,Hendricks,Oviedo,,2:51,D,,1.61,-,
