Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,TBR,,TOR,L,4,6,,0-1,4,1.0,Romano,Morton,Giles,3:27,N,,1.16,-,
2,Saturday Jul 25,boxscore,TBR,,TOR,W,4,1,,1-1,1,Tied,Anderson,Gaviglio,Drake,2:47,D,,1.15,+,
3,Sunday Jul 26,boxscore,TBR,,TOR,W-wo,6,5,10,2-1,1,Tied,Roe,Yamaguchi,,3:55,D,,1.19,++,
4,Monday Jul 27,boxscore,TBR,,ATL,W,14,5,,3-1,1,up 0.5,Castillo,Foltynewicz,,3:03,N,,1.10,+++,
5,Tuesday Jul 28,boxscore,TBR,,ATL,W,5,2,,4-1,1,up 1.0,Fairbanks,Wright,Drake,3:03,N,,1.08,++++,
6,Wednesday Jul 29,boxscore,TBR,@,ATL,L,4,7,,4-2,1,Tied,O'Day,Drake,Melancon,3:22,N,,1.06,-,
7,Thursday Jul 30,boxscore,TBR,@,ATL,L,1,2,,4-3,2,1.0,Fried,Yarbrough,Melancon,2:40,N,,1.13,--,
8,Friday Jul 31,boxscore,TBR,@,BAL,L,3,6,,4-4,2,2.0,Fry,Fairbanks,Sulser,3:36,N,,1.25,---,
9,Saturday Aug 1,boxscore,TBR,@,BAL,L-wo,4,5,11,4-5,3,3.0,Lakins,Drake,,3:50,N,,1.24,----,
10,Sunday Aug 2,boxscore,TBR,@,BAL,L,1,5,,4-6,4,4.0,Phillips,Beeks,Sulser,2:56,D,,1.23,-----,
11,Tuesday Aug 4,boxscore,TBR,,BOS,W,5,1,,5-6,3,4.0,Morton,Eovaldi,Anderson,3:14,N,,1.18,+,
12,Wednesday Aug 5,boxscore,TBR,,BOS,L,0,5,,5-7,4,4.5,Perez,Yarbrough,,3:05,N,,1.21,-,
13,Friday Aug 7,boxscore,TBR,,NYY,W,1,0,,6-7,2,3.0,Roe,Ottavino,,2:52,N,,1.21,+,
14,Saturday Aug 8 (1),boxscore,TBR,,NYY,L,4,8,7,6-8,3,3.0,Green,Glasnow,,2:52,D,,1.26,-,
15,Saturday Aug 8 (2),boxscore,TBR,,NYY,W,5,3,7,7-8,3,3.0,Fairbanks,King,Anderson,2:47,D,,1.23,+,
16,Sunday Aug 9,boxscore,TBR,,NYY,W-wo,4,3,,8-8,3,2.0,Thompson,Britton,,3:08,D,,1.26,++,
17,Monday Aug 10,boxscore,TBR,@,BOS,W,8,7,,9-8,2,1.5,Loup,Springs,Kittredge,4:24,N,,1.34,+++,
18,Tuesday Aug 11,boxscore,TBR,@,BOS,W,8,2,,10-8,2,1.5,Curtiss,Perez,,3:25,N,,1.33,++++,
19,Wednesday Aug 12,boxscore,TBR,@,BOS,W,9,5,,11-8,2,1.5,Snell,Godley,,2:58,N,,1.32,+++++,
20,Thursday Aug 13,boxscore,TBR,@,BOS,W,17,8,,12-8,2,1.0,Beeks,Hart,Banda,3:44,D,,1.28,++++++,
21,Friday Aug 14,boxscore,TBR,@,TOR,L,4,12,,12-9,2,2.0,Font,Thompson,,3:09,N,,1.26,-,
22,Saturday Aug 15,boxscore,TBR,@,TOR,W,3,2,,13-9,2,2.0,Loup,Romano,Anderson,3:37,D,,1.35,+,
23,Sunday Aug 16,boxscore,TBR,@,TOR,W,7,5,8,14-9,2,2.0,Loup,Font,Slegers,2:54,D,,1.26,++,
24,Tuesday Aug 18,boxscore,TBR,@,NYY,W,6,3,,15-9,2,1.5,Snell,Tanaka,Roe,3:15,N,,1.12,+++,
25,Wednesday Aug 19,boxscore,TBR,@,NYY,W,4,2,,16-9,2,0.5,Fairbanks,Britton,Beeks,3:12,N,,1.01,++++,
26,Thursday Aug 20,boxscore,TBR,@,NYY,W,10,5,,17-9,1,up 0.5,Castillo,Ottavino,,3:25,D,,.91,+++++,
27,Friday Aug 21,boxscore,TBR,,TOR,L,5,6,10,17-10,1,Tied,Hatch,Loup,Romano,3:31,N,,.88,-,
28,Saturday Aug 22,boxscore,TBR,,TOR,W-wo,2,1,10,18-10,1,up 0.5,Banda,Bass,,3:21,N,,1.00,+,
29,Sunday Aug 23,boxscore,TBR,,TOR,W,5,4,,19-10,1,up 1.0,Fleming,Borucki,Curtiss,3:14,D,,.93,++,
30,Monday Aug 24,boxscore,TBR,,TOR,L,4,6,,19-11,1,up 0.5,Hatch,Loup,Romano,3:29,D,,.77,-,
31,Tuesday Aug 25,boxscore,TBR,,BAL,W,4,2,,20-11,1,up 1.0,Glasnow,Milone,Garcia,2:41,N,,.88,+,
32,Wednesday Aug 26,boxscore,TBR,,BAL,W,4,3,,21-11,1,up 2.5,Sherriff,Givens,Castillo,3:26,N,,.75,++,
33,Friday Aug 28,boxscore,TBR,@,MIA,W,2,0,,22-11,1,up 4.0,Fairbanks,Bleier,Castillo,2:55,N,,.58,+++,
34,Saturday Aug 29,boxscore,TBR,@,MIA,W,4,0,,23-11,1,up 4.0,Fleming,Lopez,,2:47,N,,.43,++++,
35,Sunday Aug 30,boxscore,TBR,@,MIA,W,12,7,,24-11,1,up 3.5,Snell,Alcantara,,3:26,D,,.36,+++++,
36,Monday Aug 31,boxscore,TBR,@,NYY,W,5,3,,25-11,1,up 4.5,Glasnow,Cole,Castillo,3:21,N,,.42,++++++,
37,Tuesday Sep 1,boxscore,TBR,@,NYY,L,3,5,,25-12,1,up 3.5,Tanaka,Thompson,Chapman,2:39,N,,.30,-,
38,Wednesday Sep 2,boxscore,TBR,@,NYY,W,5,2,,26-12,1,up 4.5,Curtiss,Montgomery,,3:45,N,,.36,+,
39,Friday Sep 4,boxscore,TBR,,MIA,W,5,4,,27-12,1,up 5.5,Fleming,Lopez,Anderson,2:57,N,,.24,++,
40,Saturday Sep 5,boxscore,TBR,,MIA,L,3,7,,27-13,1,up 5.5,Alcantara,Snell,Kintzler,3:16,N,,.17,-,
41,Sunday Sep 6,boxscore,TBR,,MIA,W-wo,5,4,10,28-13,1,up 5.5,Curtiss,Kintzler,,3:18,D,,.20,+,
42,Monday Sep 7,boxscore,TBR,@,WSN,L,1,6,,28-14,1,up 4.5,Scherzer,Morton,Hudson,2:41,N,,.20,-,
43,Tuesday Sep 8,boxscore,TBR,@,WSN,L,3,5,,28-15,1,up 3.5,Sanchez,Yarbrough,Hudson,3:20,N,,.20,--,
44,Thursday Sep 10,boxscore,TBR,,BOS,L,3,4,,28-16,1,up 3.5,Weber,Fairbanks,Barnes,3:22,N,,.21,---,
45,Friday Sep 11,boxscore,TBR,,BOS,W,11,1,,29-16,1,up 4.5,Snell,Hall,,3:37,N,,.34,+,
46,Saturday Sep 12,boxscore,TBR,,BOS,W,5,4,,30-16,1,up 4.5,Glasnow,Walden,Castillo,2:37,N,,.30,++,
47,Sunday Sep 13,boxscore,TBR,,BOS,L,3,6,,30-17,1,up 3.5,Perez,Fairbanks,Barnes,3:11,D,,.23,-,
48,Tuesday Sep 15,boxscore,TBR,,WSN,W,6,1,,31-17,1,up 4.0,Yarbrough,Sanchez,Anderson,3:08,N,,.30,+,
49,Wednesday Sep 16,boxscore,TBR,,WSN,L,2,4,10,31-18,1,up 3.0,Hudson,Anderson,McGowin,3:31,D,,.26,-,
50,Thursday Sep 17 (1),boxscore,TBR,@,BAL,W,3,1,7,32-18,1,up 3.5,Castillo,Valdez,,2:28,D,,.33,+,
51,Thursday Sep 17 (2),boxscore,TBR,@,BAL,W,10,6,7,33-18,1,up 3.5,Fairbanks,Sulser,,2:38,N,,.25,++,
52,Friday Sep 18,boxscore,TBR,@,BAL,W,2,1,,34-18,1,up 3.5,Glasnow,Cobb,Sherriff,2:59,N,,.19,+++,
53,Saturday Sep 19,boxscore,TBR,@,BAL,W,3,1,,35-18,1,up 3.5,Morton,Lopez,Thompson,3:04,N,,.16,++++,
54,Sunday Sep 20,boxscore,TBR,@,BAL,L,1,2,,35-19,1,up 3.5,Means,Yarbrough,Valdez,2:31,D,,.10,-,
55,Monday Sep 21,boxscore,TBR,@,NYM,W,2,1,,36-19,1,up 4.5,Fleming,deGrom,Anderson,3:00,N,,.18,+,
56,Tuesday Sep 22,boxscore,TBR,@,NYM,L,2,5,,36-20,1,up 3.5,Lugo,Snell,Diaz,3:03,N,,.07,-,
57,Wednesday Sep 23,boxscore,TBR,@,NYM,W,8,5,,37-20,1,up 4.5,Glasnow,Wacha,,2:53,N,,.09,+,
58,Friday Sep 25,boxscore,TBR,,PHI,W,6,4,,38-20,1,up 6.0,Anderson,Morgan,Curtiss,3:08,N,,.03,++,
59,Saturday Sep 26,boxscore,TBR,,PHI,W,4,3,,39-20,1,up 6.0,Fairbanks,Wheeler,Slegers,2:53,N,,.00,+++,
60,Sunday Sep 27,boxscore,TBR,,PHI,W,5,0,,40-20,1,up 7.0,Fleming,Nola,,2:59,D,,.00,++++,
