Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Friday Jul 24,boxscore,TEX,,COL,W,1,0,,1-0,1,Tied,Lynn,Marquez,Leclerc,2:57,N,,1.05,+,
2,Saturday Jul 25,boxscore,TEX,,COL,L,2,3,,1-1,2,1.0,Bard,Minor,Davis,3:34,D,,1.06,-,
3,Sunday Jul 26,boxscore,TEX,,COL,L,2,5,,1-2,3,1.0,Freeland,Palumbo,Davis,3:05,D,,1.08,--,
4,Tuesday Jul 28,boxscore,TEX,,ARI,L,1,4,,1-3,4,1.5,Kelly,Gibson,Bradley,3:10,N,,1.05,---,
5,Wednesday Jul 29,boxscore,TEX,,ARI,W,7,4,,2-3,3,0.5,Hernandez,Chafin,Goody,3:27,D,,1.02,+,
6,Friday Jul 31,boxscore,TEX,@,SFG,L,2,9,,2-4,4,1.5,Menez,Minor,,3:04,N,,1.08,-,
7,Saturday Aug 1,boxscore,TEX,@,SFG,L,3,7,,2-5,4,1.5,Baragar,Lyles,,3:29,N,,1.03,--,
8,Sunday Aug 2,boxscore,TEX,@,SFG,W,9,5,,3-5,3,1.5,Hernandez,Triggs,,3:04,D,,1.01,+,
9,Tuesday Aug 4,boxscore,TEX,@,OAK,L-wo,1,5,,3-6,3,3.0,Hendriks,Volquez,,2:52,N,,1.21,-,
10,Wednesday Aug 5,boxscore,TEX,@,OAK,L,4,6,,3-7,4,4.0,McFarland,Gibaut,Soria,2:55,N,,1.16,--,
11,Thursday Aug 6,boxscore,TEX,@,OAK,L,4,6,,3-8,5,5.0,Fiers,Minor,Hendriks,2:39,D,,1.09,---,
12,Friday Aug 7,boxscore,TEX,,LAA,W,4,3,,4-8,3,5.0,Lyles,Canning,Montero,3:38,N,,1.04,+,
13,Saturday Aug 8,boxscore,TEX,,LAA,W,2,0,,5-8,3,5.0,Volquez,Sandoval,Montero,2:46,N,,1.11,++,
14,Sunday Aug 9,boxscore,TEX,,LAA,W,7,3,,6-8,2,5.0,Lynn,Heaney,,3:36,D,,1.19,+++,
15,Monday Aug 10,boxscore,TEX,,SEA,L,2,10,,6-9,3,5.0,Dunn,Gibson,,3:18,N,,1.25,-,
16,Tuesday Aug 11,boxscore,TEX,,SEA,W,4,2,,7-9,2,4.0,Volquez,Gonzales,Montero,2:56,N,,1.19,+,
17,Wednesday Aug 12,boxscore,TEX,,SEA,W,7,4,,8-9,2,4.0,Hernandez,Swanson,Montero,3:09,N,,1.26,++,
18,Friday Aug 14,boxscore,TEX,@,COL,W,3,2,,9-9,2,4.0,Lynn,Bard,,2:33,N,,1.16,+++,
19,Saturday Aug 15,boxscore,TEX,@,COL,W,6,4,,10-9,2,4.0,Gibson,Marquez,Montero,3:22,N,,1.17,++++,
20,Sunday Aug 16,boxscore,TEX,@,COL,L,6,10,,10-10,3,5.0,Gray,Allard,Estevez,3:00,D,,1.20,-,
21,Monday Aug 17,boxscore,TEX,,SDP,L,4,14,,10-11,3,5.0,Davies,Lyles,,3:07,N,,1.19,--,
22,Tuesday Aug 18,boxscore,TEX,,SDP,L,4,6,,10-12,3,5.0,Stammen,Minor,Quantrill,3:36,D,,1.16,---,
23,Wednesday Aug 19,boxscore,TEX,@,SDP,L-wo,3,6,10,10-13,3,6.0,Hill,Montero,,3:23,N,,1.14,----,
24,Thursday Aug 20,boxscore,TEX,@,SDP,L-wo,7,8,10,10-14,3,7.0,Johnson,Garcia,,3:59,N,,1.05,-----,
25,Friday Aug 21,boxscore,TEX,@,SEA,L,4,7,,10-15,3,8.0,Margevicius,Allard,Williams,2:41,N,,.96,------,
26,Saturday Aug 22,boxscore,TEX,@,SEA,L,1,10,,10-16,3,8.0,Sheffield,Lyles,,2:51,N,,.89,-------,
27,Sunday Aug 23,boxscore,TEX,@,SEA,L,1,4,,10-17,3,9.0,Dunn,Minor,Williams,2:14,D,,.84,--------,
28,Monday Aug 24,boxscore,TEX,,OAK,W,3,2,,11-17,3,8.0,Lynn,Luzardo,Montero,2:52,N,,.72,+,
29,Tuesday Aug 25,boxscore,TEX,,OAK,L,3,10,,11-18,3,9.0,Manaea,Gibson,,3:15,N,,.81,-,
30,Wednesday Aug 26,boxscore,TEX,,OAK,L,1,3,,11-19,4,10.0,Fiers,Allard,Hendriks,3:08,N,,.67,--,
31,Friday Aug 28,boxscore,TEX,,LAD,W,6,2,,12-19,3,9.5,Hernandez,McGee,,3:10,N,,.51,+,
32,Saturday Aug 29,boxscore,TEX,,LAD,L,4,7,,12-20,3,9.0,Treinen,Lynn,Jansen,3:36,N,,.62,-,
33,Sunday Aug 30,boxscore,TEX,,LAD,L,2,7,,12-21,4,9.5,Alexander,Gibson,,3:40,D,,.44,--,
34,Tuesday Sep 1,boxscore,TEX,@,HOU,W,6,5,10,13-21,4,9.0,Hernandez,Taylor,Montero,3:28,N,,.48,+,
35,Wednesday Sep 2,boxscore,TEX,@,HOU,L,1,2,,13-22,4,9.5,Javier,Allard,Pressly,2:27,N,,.64,-,
36,Thursday Sep 3,boxscore,TEX,@,HOU,L,4,8,,13-23,4,10.0,Greinke,Lynn,,3:11,D,,.45,--,
37,Friday Sep 4,boxscore,TEX,@,SEA,L,3,6,,13-24,4,10.0,Kikuchi,Cody,,2:56,N,,.24,---,
38,Saturday Sep 5,boxscore,TEX,@,SEA,L,3,5,,13-25,5,11.0,Gerber,Hernandez,Ramirez,3:04,N,,.19,----,
39,Sunday Sep 6,boxscore,TEX,@,SEA,L,3,4,,13-26,5,11.0,Dunn,Lyles,Hirano,2:45,D,,.17,-----,
40,Monday Sep 7,boxscore,TEX,@,SEA,L,4,8,,13-27,5,12.0,Gonzales,Allard,Ramirez,3:00,D,,.13,------,
41,Tuesday Sep 8,boxscore,TEX,,LAA,W,7,1,,14-27,5,11.5,Lynn,Heaney,,2:52,N,,.05,+,
42,Wednesday Sep 9,boxscore,TEX,,LAA,W,7,3,,15-27,5,11.5,King,Teheran,,3:38,N,,.09,++,
43,Thursday Sep 10,boxscore,TEX,,LAA,L,2,6,,15-28,5,12.5,Bundy,Gibson,,3:04,D,,.18,-,
44,Friday Sep 11,boxscore,TEX,,OAK,L,6,10,,15-29,5,13.5,Fiers,Garcia,,3:22,N,,.11,--,
45,Saturday Sep 12 (1),boxscore,TEX,,OAK,W,5,2,7,16-29,5,13.5,Benjamin,Jefferies,Montero,1:58,D,,.09,+,
46,Saturday Sep 12 (2),boxscore,TEX,,OAK,L,1,10,7,16-30,5,13.5,Bassitt,Allard,,2:59,N,,.12,-,
47,Sunday Sep 13,boxscore,TEX,,OAK,W,6,3,,17-30,5,12.5,Lynn,Montas,,2:57,D,,.03,+,
48,Tuesday Sep 15,boxscore,TEX,@,HOU,L,1,4,,17-31,5,12.5,Urquidy,Goody,Pressly,3:00,N,,.07,-,
49,Wednesday Sep 16,boxscore,TEX,@,HOU,W,1,0,,18-31,5,12.5,Gibson,Pressly,,2:36,N,,.03,+,
50,Thursday Sep 17,boxscore,TEX,@,HOU,L,1,2,,18-32,5,13.0,Valdez,Lyles,Raley,2:33,N,,.04,-,
