Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
1,Thursday Jul 23,boxscore,WSN,,NYY,L,1,4,6,0-1,5,0.5,Cole,Scherzer,,1:43,N,,1.06,-,
2,Saturday Jul 25,boxscore,WSN,,NYY,W,9,2,,1-1,1,Tied,Rainey,Paxton,,3:13,N,,1.04,+,
3,Sunday Jul 26,boxscore,WSN,,NYY,L,2,3,,1-2,3,1.0,Green,Doolittle,Britton,3:07,D,,1.07,-,
4,Monday Jul 27,boxscore,WSN,,TOR,L,1,4,,1-3,5,1.5,Borucki,Sanchez,Bass,2:59,N,,1.05,--,
5,Tuesday Jul 28,boxscore,WSN,,TOR,L,1,5,,1-4,5,2.0,Roark,Voth,,3:00,N,,1.02,---,
6,Wednesday Jul 29,boxscore,WSN,,TOR,W,4,0,10,2-4,5,1.5,Hudson,Yamaguchi,,3:33,N,,1.00,+,
7,Thursday Jul 30,boxscore,WSN,,TOR,W,6,4,,3-4,3,1.0,Harper,Ryu,Hudson,3:35,D,,1.04,++,
8,Tuesday Aug 4,boxscore,WSN,,NYM,W,5,3,,4-4,3,2.0,Corbin,Matz,Hudson,3:13,N,,1.20,+++,
9,Wednesday Aug 5,boxscore,WSN,,NYM,L,1,3,,4-5,3,2.5,Porcello,Fedde,Lugo,2:46,N,,1.21,-,
10,Friday Aug 7,boxscore,WSN,,BAL,L,0,11,,4-6,4,4.0,Milone,Sanchez,,3:00,N,,1.06,--,
11,Saturday Aug 8,boxscore,WSN,,BAL,L,3,5,,4-7,4,4.0,Armstrong,Hudson,Castro,3:27,N,,1.01,---,
12,Sunday Aug 9,boxscore,WSN,,BAL,L,2,6,,4-8,5,4.5,Lakins,Strasburg,,3:11,N,,.97,----,
13,Monday Aug 10,boxscore,WSN,@,NYM,W,16,4,,5-8,4,3.5,Corbin,Matz,,2:59,N,,.99,+,
14,Tuesday Aug 11,boxscore,WSN,@,NYM,W,2,1,,6-8,3,2.5,Scherzer,Porcello,Hudson,2:55,N,,1.11,++,
15,Wednesday Aug 12,boxscore,WSN,@,NYM,L,6,11,,6-9,3,3.5,Familia,Sanchez,,3:19,N,,1.19,-,
16,Thursday Aug 13,boxscore,WSN,@,NYM,L,2,8,,6-10,4,4.0,Peterson,Voth,,3:25,D,,1.18,--,
17,Friday Aug 14,boxscore,WSN,@,BAL,W,15,3,,7-10,3,4.0,Fedde,Milone,,3:10,N,,1.02,+,
18,Saturday Aug 15,boxscore,WSN,@,BAL,L,3,7,,7-11,4,4.0,Wojciechowski,Corbin,Sulser,3:10,N,,1.08,-,
19,Sunday Aug 16,boxscore,WSN,@,BAL,W,6,5,,8-11,4,3.0,Scherzer,Lakins,Hudson,3:38,D,,1.04,+,
20,Monday Aug 17,boxscore,WSN,@,ATL,L-wo,6,7,,8-12,4,4.0,Smith,Hudson,,3:35,N,,1.24,-,
21,Tuesday Aug 18,boxscore,WSN,@,ATL,W,8,5,,9-12,4,3.0,Suero,Matzek,Hudson,3:44,N,,1.16,+,
22,Friday Aug 21,boxscore,WSN,,MIA,L,2,3,,9-13,4,4.0,Hernandez,Corbin,Kintzler,3:06,N,,1.30,-,
23,Saturday Aug 22 (1),boxscore,WSN,,MIA,W,5,4,7,10-13,4,4.5,Finnegan,Castano,Hudson,2:58,D,,1.24,+,
24,Saturday Aug 22 (2),boxscore,WSN,,MIA,L,3,5,7,10-14,4,4.5,Sanchez,Crowe,Kintzler,2:31,N,,1.31,-,
25,Sunday Aug 23,boxscore,WSN,,MIA,W,9,3,,11-14,4,3.5,Sanchez,Mejia,,3:12,D,,1.22,+,
26,Monday Aug 24,boxscore,WSN,,MIA,L,8,11,,11-15,4,4.0,Lopez,Voth,Kintzler,4:02,N,,1.31,-,
27,Tuesday Aug 25,boxscore,WSN,,PHI,L,3,8,,11-16,5,4.5,Arrieta,Fedde,,3:13,N,,1.16,--,
