Tm,Total,All P,SP,RP,Non-P,C,1B,2B,3B,SS,LF,CF,RF,OF (All),DH,PH
LAD, 11.6,CLE5.3,CLE5.3,ATL4.0,LAD8.8,KCR1.3,ATL2.0,TBR1.6,SDP2.0,SDP2.1,WSN1.3,MIN1.7,LAD2.6,LAD3.5,MIN1.1,TBR0.6
TBR, 8.8,ATL3.7,PHI5.2,OAK3.7,SDP6.1,LAD1.3,CHW2.0,NYY1.3,NYY1.7,ATL2.0,HOU1.2,SDP1.5,NYM1.6,NYM3.3,ATL0.8,LAD0.2
SDP, 8.5,WSN3.7,COL3.6,BAL3.2,TBR5.6,CHW1.0,SFG1.3,LAD1.0,CLE1.5,CHW2.0,NYM1.1,BOS1.4,NYY1.2,BOS2.5,LAD0.6,NYM0.2
ATL, 8.0,OAK3.4,SDP3.0,TBR1.7,CHW5.3,PHI1.0,NYY0.9,CLE0.9,LAA1.4,LAD1.6,OAK0.6,TBR1.3,BAL1.2,MIN2.2,HOU0.3,SFG0.0
NYY, 4.3,TBR3.2,WSN2.4,WSN1.3,ATL4.3,CIN0.7,STL0.9,SFG0.8,MIA1.1,WSN1.5,CHW0.4,CHW1.0,BOS1.1,SDP2.1,BAL0.1,BOS0.0
OAK, 4.2,BAL2.8,LAD2.1,TOR1.2,NYY4.1,LAA0.7,DET0.9,NYM0.7,COL1.1,COL1.4,TBR0.4,OAK0.9,CHC0.8,TBR1.8,STL0.1,MIN0.0
CHW, 3.6,LAD2.8,CIN2.0,LAD0.7,SFG3.6,BOS0.4,BOS0.5,STL0.6,PIT0.9,TBR1.3,ATL0.3,SFG0.9,SDP0.8,SFG1.4,NYY0.1,STL-0.1
NYM, 3.1,TOR2.7,CHC1.7,MIL0.4,NYM3.5,OAK0.4,OAK0.5,SDP0.6,TBR0.8,SFG0.9,MIN0.3,LAA0.9,TOR0.7,NYY1.2,SDP0.1,LAA-0.1
BAL, 3.0,SDP2.4,TOR1.5,KCR0.1,MIN2.0,ATL0.2,SDP0.5,CHW0.5,LAD0.8,HOU0.9,TOR0.3,LAD0.8,PHI0.6,OAK1.2,TBR0.0,CHW-0.2
CLE, 2.5,PHI1.6,TBR1.5,CLE0.0,BOS1.6,WSN0.2,PHI0.4,ARI0.3,TEX0.7,MIA0.9,STL0.2,SEA0.7,SFG0.6,BAL1.2,PHI-0.1,TOR-0.2
MIN, 2.4,MIL1.4,MIN1.3,MIA-0.4,OAK0.8,PIT0.2,TBR0.2,CHC0.3,PHI0.5,ARI0.8,LAD0.1,NYM0.6,TEX0.5,HOU1.1,TOR-0.1,NYY-0.2
TOR, 1.9,CIN0.8,BOS1.2,HOU-0.5,STL0.6,MIN0.1,NYM0.2,DET0.2,OAK0.5,SEA0.8,BOS0.0,HOU0.5,ATL0.4,TOR0.9,SFG-0.2,ARI-0.3
WSN, 1.7,HOU0.7,HOU1.1,SDP-0.6,BAL0.2,MIL0.0,CHC0.1,MIN0.0,SEA0.2,LAA0.6,NYY0.0,ARI0.4,ARI0.3,CHW0.8,CIN-0.2,ATL-0.3
PHI, 1.7,MIN0.4,NYY1.1,CHW-0.7,PHI0.1,TEX0.0,CLE0.0,ATL0.0,CHW0.1,BOS0.4,SFG-0.1,STL0.2,MIN0.2,ATL0.7,NYM-0.2,SEA-0.3
HOU, 0.5,MIA0.3,MIL1.0,NYM-0.7,HOU-0.2,BAL0.0,TOR-0.1,TOR-0.1,BAL0.0,BAL0.4,CIN-0.2,CHC0.2,TBR0.1,ARI0.5,MIA-0.3,SDP-0.3
SFG, 0.3,NYY0.2,ARI0.9,NYY-0.8,CHC-0.5,MIA-0.1,LAD-0.2,BAL-0.1,HOU0.0,PHI0.3,SEA-0.2,BAL0.2,COL-0.2,CHC0.5,KCR-0.4,PHI-0.3
BOS, -0.4,CHC0.1,MIA0.7,ARI-0.9,TOR-0.8,HOU-0.1,LAA-0.3,LAA-0.3,SFG0.0,KCR0.3,ARI-0.2,MIA0.1,SEA-0.3,SEA0.2,OAK-0.4,BAL-0.3
CHC, -0.4,ARI0.0,LAA0.6,MIN-0.9,LAA-0.9,CHC-0.1,MIA-0.4,WSN-0.3,STL0.0,CLE0.3,BAL-0.2,TEX0.1,OAK-0.3,STL-0.3,MIL-0.5,MIA-0.3
LAA, -1.4,KCR-0.3,NYM0.2,LAA-1.1,SEA-1.3,TOR-0.3,SEA-0.5,KCR-0.4,MIN-0.1,CHC0.2,SDP-0.2,ATL0.0,KCR-0.4,WSN-0.9,CLE-0.5,WSN-0.3
MIA, -1.5,NYM-0.4,SEA0.2,CIN-1.2,MIA-1.8,SEA-0.3,MIL-0.7,SEA-0.4,NYM-0.1,TOR0.1,COL-0.3,NYY0.0,HOU-0.6,TEX-1.1,COL-0.6,OAK-0.4
